,Name,Price,Mileage,ages,accident_damages,Insurance,service_repairs,fuel_capacity,wheelbase,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,drive_type_text,transmission_text,torque_num,torque_rpm,dimension_L,dimension_W,dimension_H,mile_per_gallon_city,mile_per_gallon_hwy,engine_cly,engine_fuel,engine_L,color_ext,color_int,torque
0,2014 GMC Terrain SLT,"$17,998*",81K miles,9,No Accidents or Damage Reported,0,1,18.0,112.5,41.2,39.8,0.0,3867,0,Front Wheel Drive,Automatic,272,4800,185.3,72.8,66.3,17,24,6, Gas,3.6,Black,Brown,566.7
1,2019 Hyundai Tucson SE,"$22,998*",23K miles,4,No Accidents or Damage Reported,0,0,16.4,105.1,41.5,39.6,31.0,3455,1000,All Wheel Drive,Automatic,150,4700,176.4,72.8,64.8,22,25,4, Gas,2.0,Brown,Cream,319.1
2,2018 BMW X5 XDrive35i,"$33,998*",43K miles,5,No Accidents or Damage Reported,0,6,22.4,115.5,40.4,40.5,35.8,4790,5952,All Wheel Drive,Automatic,300,1200,192.4,76.3,69.4,18,24,6, Turbo Gas,3.0,Gray,Black,2500.0
3,2018 BMW X1 XDrive28i,"$24,998*",60K miles,5,No Accidents or Damage Reported,0,5,16.1,105.1,40.4,41.9,27.1,3697,0,All Wheel Drive,Automatic,258,1450,175.4,71.7,62.9,22,31,4, Turbo Gas,2.0,Blue,Black,1779.3
4,2020 Hyundai Santa Fe Limited,"$27,998*",43K miles,3,No Accidents or Damage Reported,0,0,18.8,108.9,44.1,41.2,35.9,3803,0,Front Wheel Drive,Automatic,178,4000,187.8,74.4,66.1,22,29,4, Gas,2.4,Black,Gray,445.0
5,2016 Jeep Compass High Altitude,"$14,998*",111K miles,7,No Accidents or Damage Reported,0,0,13.5,103.7,40.6,39.9,22.7,3345,1000,Four Wheel Drive,Automatic,165,4400,175.1,71.4,65.0,20,26,4, Gas,2.4,Black,Black,375.0
6,2016 Jeep Compass Sport,"$15,998*",89K miles,7,No Accidents or Damage Reported,0,6,13.5,103.7,40.6,40.7,22.7,3258,1000,Four Wheel Drive,Automatic,165,4400,175.1,71.4,65.0,22,27,4, Gas,2.4,Black,Black,375.0
7,2017 GMC Terrain SLT,"$18,998*",94K miles,6,No Accidents or Damage Reported,0,0,18.8,112.5,41.2,39.8,0.0,4054,0,All Wheel Drive,Automatic,172,4900,185.5,72.8,66.3,20,28,4, Gas,2.4,Gray,Black,351.0
8,2018 Ford Escape SEL,"$18,998*",56K miles,5,No Accidents or Damage Reported,0,1,15.7,105.9,43.1,39.9,34.3,3576,2000,Front Wheel Drive,Automatic,177,2500,178.1,72.4,66.3,23,30,4, Turbo Gas,1.5,White,Black,708.0
9,2018 Subaru Crosstrek Premium,"$20,998*",94K miles,5,No Accidents or Damage Reported,0,0,16.6,104.9,43.1,39.8,20.8,3186,1500,All Wheel Drive,Automatic,145,4000,175.8,71.0,63.6,27,33,4, Gas,2.0,Black,Black,362.5
11,2013 Hyundai Santa Fe Sport,"$14,998*",117K miles,10,No Accidents or Damage Reported,0,1,17.4,106.3,41.3,39.6,0.0,3459,0,Front Wheel Drive,Automatic,181,4250,184.6,74.0,66.1,21,29,4, Gas,2.4,Orange,Gray,425.9
12,2017 Ford Escape S,"$18,998*",48K miles,6,No Accidents or Damage Reported,0,0,15.7,105.9,43.1,39.9,34.3,3515,1500,Front Wheel Drive,Automatic,170,4500,178.1,72.4,66.3,21,29,4, Gas,2.5,Orange,Gray,377.8
13,2017 GMC Terrain SLE,"$16,998*",101K miles,6,No Accidents or Damage Reported,0,4,18.8,112.5,41.2,39.8,0.0,3792,0,Front Wheel Drive,Automatic,172,4900,185.5,72.8,66.3,21,31,4, Gas,2.4,Gray,Black,351.0
14,2017 Mitsubishi Outlander Sport ES,"$18,998*",23K miles,6,No Accidents or Damage Reported,0,0,16.6,105.1,41.6,39.4,21.7,3032,0,Front Wheel Drive,Manual 5 Speed,145,4200,171.5,71.3,64.8,23,29,4, Gas,2.0,Silver,Black,345.2
15,2018 BMW X3 XDrive30i,"$28,998*",56K miles,5,No Accidents or Damage Reported,0,4,17.2,112.8,40.3,41.1,28.7,4156,0,All Wheel Drive,Automatic,258,1450,185.9,74.4,66.0,22,29,4, Turbo Gas,2.0,White,Black,1779.3
16,2015 Acura MDX,"$18,998*",116K miles,8,No Accidents or Damage Reported,0,20,19.5,111.0,41.4,38.1,14.8,4294,3500,All Wheel Drive,Automatic,267,4500,193.6,77.2,67.6,18,27,6, Gas,3.5,White,Tan,593.3
17,2019 Jeep Compass Altitude,"$24,998*",51K miles,4,No Accidents or Damage Reported,0,3,13.5,103.8,41.8,39.2,27.2,3184,1000,Front Wheel Drive,Automatic,175,3900,173.0,73.8,64.8,22,31,4, Gas,2.4,Black,Black,448.7
19,2018 Kia Sorento LX,"$20,998*",60K miles,5,No Accidents or Damage Reported,0,6,18.8,109.4,44.1,39.5,11.3,3840,2000,All Wheel Drive,Automatic,178,4000,187.4,74.4,66.3,21,25,4, Gas,2.4,Gray,Black,445.0
20,2016 Jeep Patriot High Altitude,"$15,998*",97K miles,7,No Accidents or Damage Reported,0,0,13.6,103.7,40.6,41.0,23.0,3210,1000,Front Wheel Drive,Automatic,141,5000,173.8,69.2,65.5,22,26,4, Gas,2.0,White,Black,282.0
21,2018 Hyundai Tucson SEL,"$16,998*",101K miles,5,No Accidents or Damage Reported,0,0,16.4,105.1,41.5,39.6,31.0,3300,1000,Front Wheel Drive,Automatic,151,4000,176.2,72.8,64.8,23,30,4, Gas,2.0,Blue,Black,377.5
23,2020 Volvo XC90 T6 Momentum,"$39,998*",32K miles,3,No Accidents or Damage Reported,0,0,18.8,117.5,40.9,38.9,12.6,4394,5000,All Wheel Drive,Automatic,295,2200,194.9,79.1,69.9,20,27,4, Turbo Supercharged,2.0,White,Tan,1340.9
24,2016 Audi Q5 Premium Plus,"$22,998*",65K miles,7,No Accidents or Damage Reported,0,1,19.8,110.5,41.0,39.4,29.1,4200,4400,All Wheel Drive,Automatic,258,1500,182.6,74.7,65.2,20,28,4, Turbo Gas,2.0,Pearl,Tan,1720.0
