,ages,accident_damages,Insurance,service_repairs,Name,Price,Mileage,fuel_capacity,wheelbase,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,drive_type_text,transmission_text,torque_num,torque_rpm,dimension_L,dimension_W,dimension_H,mile_per_gallon_city,mile_per_gallon_hwy,engine_cly,engine_fuel,engine_L,color_ext,color_int,torque
0,4,No Accidents or Damage Reported,0,0,2019 Dodge Charger GT,26998,61,264,120.2,41.8,38.6,Null,3966,Null,Rear Wheel Drive,Automatic,264,4800,198.4,75.0,58.2,19,30,6, Gas,3.6,Red,Black,550.0
1,6,No Accidents or Damage Reported,0,0,2017 Dodge Charger R/T Scat Pack,38998,39,475,120.2,41.8,38.6,Null,4400,Null,Rear Wheel Drive,Automatic,475,4100,200.8,75.0,58.2,15,25,8, Gas,6.4,Black,Black,1158.5
2,8,No Accidents or Damage Reported,0,13,2015 Ford Taurus SEL,14599,117,254,112.9,41.9,39.0,Null,4035,Null,Front Wheel Drive,Automatic,254,4000,202.9,76.2,60.7,19,29,6, Gas,3.5,Silver,Black,635.0
3,7,No Accidents or Damage Reported,0,0,2016 Audi A3 Premium,18998,90,200,103.8,41.2,39.6,Null,3175,Null,Front Wheel Drive,Automatic,200,1600,175.0,70.7,55.8,23,33,4, Turbo Gas,1.8,White,Gray,1250.0
4,5,No Accidents or Damage Reported,0,0,2018 Toyota Camry LE,22998,60,184,111.2,42.1,38.3,Null,3296,Null,Front Wheel Drive,Automatic,184,5000,192.1,72.4,56.9,28,39,4, Gas,2.5,Black,Black,368.0
5,11,No Accidents or Damage Reported,0,0,2012 Kia Forte LX,12998,65,144,104.3,43.3,40.0,Null,2729,Null,Front Wheel Drive,Manual 6 Speed,144,4300,178.3,69.9,57.5,25,34,4, Gas,2.0,White,Gray,334.9
6,10,No Accidents or Damage Reported,0,0,2013 Hyundai Elantra Limited,14998,90,130,106.3,43.6,40.0,Null,2701,Null,Front Wheel Drive,Automatic,130,4700,178.3,69.9,56.5,28,38,4, Gas,1.8,Gray,Gray,276.6
7,6,No Accidents or Damage Reported,0,0,2017 Mercedes-Benz C300,24998,40,273,111.8,41.7,37.1,Null,3417,Null,Rear Wheel Drive,Automatic,273,1300,184.5,71.3,56.8,24,34,4, Turbo Gas,2.0,Black,Tan,2100.0
8,6,No Accidents or Damage Reported,0,0,2017 Dodge Charger Daytona,35998,22,395,120.2,41.8,38.6,Null,4264,Null,Rear Wheel Drive,Automatic,395,4200,198.4,75.0,58.2,16,25,8, Gas,5.7,Yellow,Black,940.5
9,6,No Accidents or Damage Reported,0,0,2017 Kia Optima Hybrid Premium,16998,90,271,110.4,45.5,39.8,Null,3486,Null,Front Wheel Drive,Automatic,271,1770,191.1,73.2,57.5,39,46,4, Hybrid,2.0,Silver,Black,1531.1
