,ages,accident_damages,Insurance,service_repairs,Name,Price,Mileage,fuel_capacity,wheelbase,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,drive_type_text,transmission_text,torque_num,torque_rpm,dimension_L,dimension_W,dimension_H,mile_per_gallon_city,mile_per_gallon_hwy,engine_cly,engine_fuel,engine_L,color_ext,color_int,torque
0,8,No Accidents or Damage Reported,0,0,2015 Nissan Frontier SV,21998,62,21.1,125.9,42.4,39.7,0,4140,"6,500/6,500 lbs",Rear Wheel Drive,Automatic,281,4000,205.5,72.8,69.7,16,22,6, Gas,4.0,Gray,Black,702.5
1,3,No Accidents or Damage Reported,0,0,2020 Chevrolet Silverado 1500 Custom,35998,16,24.0,156.95,44.53,43.03,0,4674,"9,600/9,600 lbs",Rear Wheel Drive,Automatic,305,3900,241.21,81.24,75.35,16,21,6, Gas,4.3,Black,Black,782.1
2,8,No Accidents or Damage Reported,0,0,2015 Ram 1500 Sport,26998,121,26.0,140.0,41.0,41.0,0,5484,"7,940/7,940 lbs",Four Wheel Drive,Automatic,410,3950,229.0,79.4,78.1,15,21,8, Gas,5.7,Gray,Black,1038.0
3,3,No Accidents or Damage Reported,0,0,2020 Chevrolet Silverado 1500 LT,36998,27,24.0,156.95,44.53,43.03,0,4867,"11,300/11,300 lbs",Four Wheel Drive,Automatic,348,1500,241.21,81.24,75.4,19,22,4, Turbo Gas,2.7,Black,Black,2320.0
4,5,No Accidents or Damage Reported,0,0,2018 Toyota Tacoma SR5,31998,45,21.1,140.6,42.9,39.7,0,4425,"6,400/6,400 lbs",Four Wheel Drive,Automatic,265,4600,225.5,74.4,70.6,18,22,6, Gas,3.5,Black,Black,576.1
5,4,No Accidents or Damage Reported,0,0,2019 Ram 1500 Rebel,41998,42,26.0,144.5,40.9,40.9,0,5372,"7,160/7,160 lbs",Four Wheel Drive,Automatic,410,3950,232.9,82.1,77.6,15,21,8, Gas,5.7,Gray,Black,1038.0
6,4,No Accidents or Damage Reported,0,0,2019 Toyota Tacoma TRD Sport,33998,56,21.1,127.4,42.9,39.7,0,4325,"6,500/6,500 lbs",Four Wheel Drive,Automatic,265,4600,212.3,75.2,70.6,18,22,6, Gas,3.5,Gray,Gray,576.1
7,5,No Accidents or Damage Reported,0,1,2018 Ram 1500 Laramie,29998,110,26.0,140.0,41.0,41.0,0,5338,"4,200/4,200 lbs",Four Wheel Drive,Automatic,420,2000,229.0,79.4,78.1,19,27,6, Turbo Diesel,3.0,Black,Black,2100.0
8,4,No Accidents or Damage Reported,0,0,2019 Ram 1500 Laramie,39998,44,26.0,153.5,40.9,40.9,0,5160,"6,320/6,320 lbs",Four Wheel Drive,Automatic,410,3950,241.8,82.1,77.5,15,21,8, Gas,5.7,Black,Black,1038.0
9,6,No Accidents or Damage Reported,0,0,2017 Ram 1500 Tradesman,19998,119,26.0,140.0,41.0,41.0,0,4877,"4,650/4,650 lbs",Rear Wheel Drive,Automatic,269,4175,229.0,79.4,77.2,17,25,6, Gas,3.6,Silver,Black,644.3
10,4,No Accidents or Damage Reported,0,2,2019 GMC Sierra 1500 SLT,43998,46,24.0,156.98,44.53,43.03,0,4887,"12,000/12,000 lbs",Four Wheel Drive,Automatic,383,4100,241.25,81.24,75.4,15,21,8, Gas,5.3,Gray,Black,934.1
11,3,No Accidents or Damage Reported,0,0,2020 Chevrolet Silverado 1500 LT,34998,45,24.0,156.95,44.53,43.03,0,4674,"11,400/11,400 lbs",Rear Wheel Drive,Automatic,348,1500,241.21,81.24,75.35,20,23,4, Turbo Gas,2.7,Gray,Black,2320.0
12,4,No Accidents or Damage Reported,0,0,2019 Ford F150 XLT,32998,39,26.0,145.0,43.9,40.8,0,4528,"5,000/5,000 lbs",Rear Wheel Drive,Automatic,265,4000,231.9,79.9,75.6,19,25,6, Gas,3.3,Black,Gray,662.5
13,3,No Accidents or Damage Reported,0,0,2020 Ford F150 XLT,35998,44,26.0,145.0,43.9,40.8,0,4770,"5,000/5,000 lbs",Four Wheel Drive,Automatic,265,4000,231.9,79.9,77.2,18,23,6, Gas,3.3,Gray,Gray,662.5
14,3,No Accidents or Damage Reported,0,0,2020 Toyota Tacoma SR,30998,36,21.1,127.4,42.9,39.7,0,4095,"3,500/3,500 lbs",Rear Wheel Drive,Automatic,180,3800,212.3,74.4,70.6,20,23,4, Gas,2.7,Silver,Gray,473.7
