Name,Price,Mile,Ages,Accident_damages,Insurance,Service_repairs,fuel_capacity,wheelbase,dirver_leg_room,dirver_head_room,curb_weight,transmission,dimension_L,dimension_W,dimension_H,mile_per_gallon_city,mile_per_gallon_hwy,engine_cly,engine_fuel,engine_L,color_ext,color_int,torque,type
2014 GMC Terrain SLT,17998,81,9,No Accidents or Damage Reported,0,1,18.0,112.5,41.2,39.8,3867,Automatic,185.3,72.8,66.3,17,24,6, Gas,3.6,Black,Brown,566.7,crossover
2019 Hyundai Tucson SE,22998,23,4,No Accidents or Damage Reported,0,0,16.4,105.1,41.5,39.6,3455,Automatic,176.4,72.8,64.8,22,25,4, Gas,2.0,Brown,Cream,319.1,crossover
2018 BMW X5 XDrive35i,33998,43,5,No Accidents or Damage Reported,0,6,22.4,115.5,40.4,40.5,4790,Automatic,192.4,76.3,69.4,18,24,6, Turbo Gas,3.0,Gray,Black,2500.0,crossover
2018 BMW X1 XDrive28i,24998,60,5,No Accidents or Damage Reported,0,5,16.1,105.1,40.4,41.9,3697,Automatic,175.4,71.7,62.9,22,31,4, Turbo Gas,2.0,Blue,Black,1779.3,crossover
2020 Hyundai Santa Fe Limited,27998,43,3,No Accidents or Damage Reported,0,0,18.8,108.9,44.1,41.2,3803,Automatic,187.8,74.4,66.1,22,29,4, Gas,2.4,Black,Gray,445.0,crossover
2016 Jeep Compass High Altitude,14998,111,7,No Accidents or Damage Reported,0,0,13.5,103.7,40.6,39.9,3345,Automatic,175.1,71.4,65.0,20,26,4, Gas,2.4,Black,Black,375.0,crossover
2016 Jeep Compass Sport,15998,89,7,No Accidents or Damage Reported,0,6,13.5,103.7,40.6,40.7,3258,Automatic,175.1,71.4,65.0,22,27,4, Gas,2.4,Black,Black,375.0,crossover
2017 GMC Terrain SLT,18998,94,6,No Accidents or Damage Reported,0,0,18.8,112.5,41.2,39.8,4054,Automatic,185.5,72.8,66.3,20,28,4, Gas,2.4,Gray,Black,351.0,crossover
2018 Ford Escape SEL,18998,56,5,No Accidents or Damage Reported,0,1,15.7,105.9,43.1,39.9,3576,Automatic,178.1,72.4,66.3,23,30,4, Turbo Gas,1.5,White,Black,708.0,crossover
2018 Subaru Crosstrek Premium,20998,94,5,No Accidents or Damage Reported,0,0,16.6,104.9,43.1,39.8,3186,Automatic,175.8,71.0,63.6,27,33,4, Gas,2.0,Black,Black,362.5,crossover
