Unnamed: 0,Name,Price,Mileage,ages,accident_damages,Insurance,service_repairs,fuel_capacity,wheelbase,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,drive_type_text,transmission_text,torque_num,torque_rpm,dimension_L,dimension_W,dimension_H,mile_per_gallon_city,mile_per_gallon_hwy,engine_cly,engine_fuel,engine_L,color_ext,color_int,torque
0,2014 GMC Terrain SLT,"$17,998*",81K miles,9 year(s),,Null,1 Service Record(s) Reported,18.0 gal,"112.50""","41.20""","39.80""",Null,"3,867 lbs",Null,Front Wheel Drive,Automatic,272,4800,"185.30"" L "," 72.80"" W "," 66.30"" H",17 city,24 hwy,6-cyl, Gas, 3.6L,Black,Brown,566.6666666666666
1,2019 Hyundai Tucson SE,"$22,998*",23K miles,4 year(s),No Accidents or Damage Reported,Null,,16.4 gal,"105.1""","41.5""","39.6""",31 cu ft,"3,455 lbs","1,000/1,000 lbs",All Wheel Drive,Automatic,150,4700,"176.4"" L "," 72.8"" W "," 64.8"" H",22 city,25 hwy,4-cyl, Gas, 2.0L,Brown,Cream,319.1489361702127
2,2018 BMW X5 XDrive35i,"$33,998*",43K miles,5 year(s),No Accidents or Damage Reported,Null,6 Service Record(s) Reported,22.4 gal,"115.5""","40.4""","40.5""",35.8 cu ft,"4,790 lbs","5,952/5,952 lbs",All Wheel Drive,Automatic,300,1200,"192.4"" L "," 76.3"" W "," 69.4"" H",18 city,24 hwy,6-cyl, Turbo Gas, 3.0L,Gray,Black,2500.0
3,2018 BMW X1 XDrive28i,"$24,998*",60K miles,5 year(s),,Null,5 Service Record(s) Reported,16.1 gal,"105.1""","40.4""","41.9""",27.1 cu ft,"3,697 lbs",Null,All Wheel Drive,Automatic,258,1450,"175.4"" L "," 71.7"" W "," 62.9"" H",22 city,31 hwy,4-cyl, Turbo Gas, 2.0L,Blue,Black,1779.3103448275863
4,2020 Hyundai Santa Fe Limited,"$27,998*",43K miles,3 year(s),No Accidents or Damage Reported,Null,,18.8 gal,"108.9""","44.1""","41.2""",35.9 cu ft,"3,803 lbs",Null,Front Wheel Drive,Automatic,178,4000,"187.8"" L "," 74.4"" W "," 66.1"" H",22 city,29 hwy,4-cyl, Gas, 2.4L,Black,Gray,445.0
5,2016 Jeep Compass High Altitude,"$14,998*",111K miles,7 year(s),No Accidents or Damage Reported,Null,,13.5 gal,"103.7""","40.6""","39.9""",22.7 cu ft,"3,345 lbs","1,000/1,000 lbs",Four Wheel Drive,Automatic,165,4400,"175.1"" L "," 71.4"" W "," 65"" H",20 city,26 hwy,4-cyl, Gas, 2.4L,Black,Black,375.0
6,2016 Jeep Compass Sport,"$15,998*",89K miles,7 year(s),No Accidents or Damage Reported,Null,6 Service Record(s) Reported,13.5 gal,"103.7""","40.6""","40.7""",22.7 cu ft,"3,258 lbs","1,000/1,000 lbs",Four Wheel Drive,Automatic,165,4400,"175.1"" L "," 71.4"" W "," 65"" H",22 city,27 hwy,4-cyl, Gas, 2.4L,Black,Black,375.0
7,2017 GMC Terrain SLT,"$18,998*",94K miles,6 year(s),No Accidents or Damage Reported,Null,,18.8 gal,"112.50""","41.20""","39.80""",Null,"4,054 lbs",Null,All Wheel Drive,Automatic,172,4900,"185.50"" L "," 72.80"" W "," 66.30"" H",20 city,28 hwy,4-cyl, Gas, 2.4L,Gray,Black,351.0204081632653
8,2018 Ford Escape SEL,"$18,998*",56K miles,5 year(s),No Accidents or Damage Reported,Null,1 Service Record(s) Reported,15.7 gal,"105.9""","43.1""","39.9""",34.3 cu ft,"3,576 lbs","2,000/2,000 lbs",Front Wheel Drive,Automatic,177,2500,"178.1"" L "," 72.4"" W "," 66.3"" H",23 city,30 hwy,4-cyl, Turbo Gas, 1.5L,White,Black,708.0
9,2018 Subaru Crosstrek Premium,"$20,998*",94K miles,5 year(s),No Accidents or Damage Reported,Null,,16.6 gal,"104.9""","43.1""","39.8""",20.8 cu ft,"3,186 lbs","1,500/1,500 lbs",All Wheel Drive,Automatic,145,4000,"175.8"" L "," 71"" W "," 63.6"" H",27 city,33 hwy,4-cyl, Gas, 2.0L,Black,Black,362.5
10,2014 Hyundai Tucson GLS,"$14,599*",112K miles,9 year(s),No Accidents or Damage Reported,Null,,15.3 gal,"103.9""","41.2""","39.4""",25.7 cu ft,"3,232 lbs","1,000/1,000 lbs",Front Wheel Drive,Automatic,151,4000,Null,,,23 city,29 hwy,4-cyl, Gas, 2.0L,Gray,Gray,377.5
11,2013 Hyundai Santa Fe Sport,"$14,998*",117K miles,10 year(s),,Null,1 Service Record(s) Reported,17.4 gal,"106.3""","41.3""","39.6""",Null,"3,459 lbs",Null,Front Wheel Drive,Automatic,181,4250,"184.6"" L "," 74.0"" W "," 66.1"" H",21 city,29 hwy,4-cyl, Gas, 2.4L,Orange,Gray,425.88235294117646
12,2017 Ford Escape S,"$18,998*",48K miles,6 year(s),No Accidents or Damage Reported,Null,,15.7 gal,"105.9""","43.1""","39.9""",34.3 cu ft,"3,515 lbs","1,500/1,500 lbs",Front Wheel Drive,Automatic,170,4500,"178.1"" L "," 72.4"" W "," 66.3"" H",21 city,29 hwy,4-cyl, Gas, 2.5L,Orange,Gray,377.77777777777777
13,2017 GMC Terrain SLE,"$16,998*",101K miles,6 year(s),,Null,4 Service Record(s) Reported,18.8 gal,"112.50""","41.20""","39.80""",Null,"3,792 lbs",Null,Front Wheel Drive,Automatic,172,4900,"185.50"" L "," 72.80"" W "," 66.30"" H",21 city,31 hwy,4-cyl, Gas, 2.4L,Gray,Black,351.0204081632653
14,2017 Mitsubishi Outlander Sport ES,"$18,998*",23K miles,6 year(s),No Accidents or Damage Reported,Null,,16.6 gal,"105.1""","41.6""","39.4""",21.7 cu ft,"3,032 lbs",Null,Front Wheel Drive,Manual 5 Speed,145,4200,"171.5"" L "," 71.3"" W "," 64.8"" H",23 city,29 hwy,4-cyl, Gas, 2.0L,Silver,Black,345.23809523809524
15,2018 BMW X3 XDrive30i,"$28,998*",56K miles,5 year(s),No Accidents or Damage Reported,Null,4 Service Record(s) Reported,17.2 gal,"112.8""","40.3""","41.1""",28.7 cu ft,"4,156 lbs",Null,All Wheel Drive,Automatic,258,1450,"185.9"" L "," 74.4"" W "," 66"" H",22 city,29 hwy,4-cyl, Turbo Gas, 2.0L,White,Black,1779.3103448275863
16,2015 Acura MDX,"$18,998*",116K miles,8 year(s),No Accidents or Damage Reported,Null,20 Service Record(s) Reported,19.5 gal,"111""","41.4""","38.1""",14.8 cu ft,"4,294 lbs","3,500/3,500 lbs",All Wheel Drive,Automatic,267,4500,"193.6"" L "," 77.2"" W "," 67.6"" H",18 city,27 hwy,6-cyl, Gas, 3.5L,White,Tan,593.3333333333334
17,2019 Jeep Compass Altitude,"$24,998*",51K miles,4 year(s),No Accidents or Damage Reported,Null,3 Service Record(s) Reported,13.5 gal,"103.8""","41.8""","39.2""",27.2 cu ft,"3,184 lbs","1,000/1,000 lbs",Front Wheel Drive,Automatic,175,3900,"173"" L "," 73.8"" W "," 64.8"" H",22 city,31 hwy,4-cyl, Gas, 2.4L,Black,Black,448.71794871794873
18,2018 Porsche Macan,"$35,998*",37K miles,5 year(s),No Accidents or Damage Reported,Null,,19.8 gal,"110.5""","""","""",17.7 cu ft,"3,902 lbs","4,409/4,409 lbs",All Wheel Drive,Automatic,273,1600,"184.3"" L "," 76.1"" W "," 63.9"" H",20 city,25 hwy,4-cyl, Turbo Gas, 2.0L,Black,Black,1706.25
19,2018 Kia Sorento LX,"$20,998*",60K miles,5 year(s),No Accidents or Damage Reported,Null,6 Service Record(s) Reported,18.8 gal,"109.4""","44.1""","39.5""",11.3 cu ft,"3,840 lbs","2,000/2,000 lbs",All Wheel Drive,Automatic,178,4000,"187.4"" L "," 74.4"" W "," 66.3"" H",21 city,25 hwy,4-cyl, Gas, 2.4L,Gray,Black,445.0
21,2016 Jeep Patriot High Altitude,"$15,998*",97K miles,7 year(s),,Null,,13.6 gal,"103.7""","40.6""","41""",23 cu ft,"3,210 lbs","1,000/1,000 lbs",Front Wheel Drive,Automatic,141,5000,"173.8"" L "," 69.2"" W "," 65.5"" H",22 city,26 hwy,4-cyl, Gas, 2.0L,White,Black,282.0
