ages,accident_damages,Insurance,service_repairs,Name,Price,Mileage,fuel_capacity,wheelbase,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,drive_type_text,transmission_text,torque_num,torque_rpm,dimension_L,dimension_W,dimension_H,mile_per_gallon_city,mile_per_gallon_hwy,engine_cly,engine_fuel,engine_L,color_ext,color_int,torque
9 year(s),,Null,1 Service Record(s) Reported,2014 GMC Terrain SLT,"$17,998*",81K miles,18.0 gal,"112.50""","41.20""","39.80""",Null,"3,867 lbs",Null,Front Wheel Drive,Automatic,272,4800,"185.30"" L "," 72.80"" W "," 66.30"" H",17 city,24 hwy,6-cyl, Gas, 3.6L,Black,Brown,566.6666666666666
7 year(s),,Null,9 Service Record(s) Reported,2016 Jeep Grand Cherokee Laredo,"$19,998*",83K miles,24.6 gal,"114.8""","40.3""","39.9""",36.3 cu ft,"4,677 lbs","3,500/3,500 lbs",Four Wheel Drive,Automatic,260,4000,"189.8"" L "," 76.5"" W "," 69.3"" H",18 city,25 hwy,6-cyl, Gas, 3.6L,Black,Black,650.0
3 year(s),,Null,,2020 Hyundai Palisade Limited,"$42,998*",30K miles,18.8 gal,"114.2""","44.1""","39.3""",18 cu ft,"4,387 lbs","1,650/1,650 lbs",All Wheel Drive,Automatic,262,5200,"196.1"" L "," 77.8"" W "," 68.9"" H",19 city,24 hwy,6-cyl, Gas, 3.8L,White,Cream,503.8461538461538
11 year(s),No Accidents or Damage Reported,Null,11 Service Record(s) Reported,2012 Chevrolet Captiva Sport LT,"$12,998*",118K miles,19.2 gal,"106.6""","40.7""","40.2""",Null,"3,831 lbs","3,500/3,500 lbs",Front Wheel Drive,Automatic,222,5100,"180.1"" L "," 72.8"" W "," 67.0"" H",17 city,24 hwy,6-cyl, Gas, 3.0L,White,Black,435.2941176470588
9 year(s),,Null,7 Service Record(s) Reported,2014 Jeep Grand Cherokee Laredo,"$16,998*",124K miles,24.6 gal,"114.8""","40.3""","39.9""",36.3 cu ft,"4,677 lbs","6,200/6,200 lbs",Four Wheel Drive,Automatic,260,4800,"189.8"" L "," 76.5"" W "," 69.3"" H",17 city,24 hwy,6-cyl, Gas, 3.6L,White,Black,541.6666666666666
5 year(s),No Accidents or Damage Reported,Null,3 Service Record(s) Reported,2018 Jeep Wrangler All-New Unlimited Sahara,"$32,998*",44K miles,21.5 gal,"118.4""","41.2""","42.6""",31.7 cu ft,"4,331 lbs","3,500/3,500 lbs",Four Wheel Drive,Manual 6 Speed,260,4800,"188.4"" L "," 73.8"" W "," 73.6"" H",17 city,23 hwy,6-cyl, Gas, 3.6L,Silver,Black,541.6666666666666
6 year(s),,Null,4 Service Record(s) Reported,2017 GMC Terrain SLE,"$16,998*",101K miles,18.8 gal,"112.50""","41.20""","39.80""",Null,"3,792 lbs",Null,Front Wheel Drive,Automatic,172,4900,"185.50"" L "," 72.80"" W "," 66.30"" H",21 city,31 hwy,4-cyl, Gas, 2.4L,Gray,Black,351.0204081632653
7 year(s),No Accidents or Damage Reported,Null,9 Service Record(s) Reported,2016 BMW X3 XDrive28i,"$22,998*",72K miles,17.7 gal,"110.6""","39.9""","40.7""",27.6 cu ft,"4,150 lbs","3,500/3,500 lbs",All Wheel Drive,Automatic,260,1450,"183.8"" L "," 74.1"" W "," 66.1"" H",21 city,28 hwy,4-cyl, Turbo Gas, 2.0L,White,Tan,1793.103448275862
5 year(s),,Null,,2018 Volkswagen Tiguan Limited,"$17,998*",69K miles,16.9 gal,"102.5""","40.1""","39.1""",23.8 cu ft,"3,646 lbs","2,200/2,200 lbs",All Wheel Drive,Automatic,207,1700,"174.5"" L "," 71.2"" W "," 67.1"" H",19 city,25 hwy,4-cyl, Turbo Gas, 2.0L,Black,Black,1217.6470588235295
7 year(s),No Accidents or Damage Reported,Null,6 Service Record(s) Reported,2016 Jeep Compass Sport,"$15,998*",89K miles,13.5 gal,"103.7""","40.6""","40.7""",22.7 cu ft,"3,258 lbs","1,000/1,000 lbs",Four Wheel Drive,Automatic,165,4400,"175.1"" L "," 71.4"" W "," 65"" H",22 city,27 hwy,4-cyl, Gas, 2.4L,Black,Black,375.0
