,Name,Price,Mileage,ages,accident_damages,Insurance,service_repairs,torque,horsepower,fuel_capacity,dimension,wheelbase,front_tire_size,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,mile_per_gallon,engine_text,drive_type_text,transmission_text,color_ext_int,prior_use,keys
0,2014 GMC Terrain SLT,"$17,998*",81K miles,9 year(s),,Null,1 Service Record(s) Reported,272 torque@4800rpm,301 horsepower@6500rpm,18.0 gal,"185.30"" L x 72.80"" W x 66.30"" H","112.50""",P235/60R17,"41.20""","39.80""",Null,"3,867 lbs",Null,17 city/24 hwy,"6-cyl, Gas, 3.6L",Front Wheel Drive,Automatic,Black/Brown,None,2']
1,2019 Hyundai Tucson SE,"$22,998*",23K miles,4 year(s),No Accidents or Damage Reported,Null,,150 torque@4700rpm,161 horsepower@6200rpm,16.4 gal,"176.4"" L x 72.8"" W x 64.8"" H","105.1""",P225/60HR17,"41.5""","39.6""",31 cu ft,"3,455 lbs","1,000/1,000 lbs",22 city/25 hwy,"4-cyl, Gas, 2.0L",All Wheel Drive,Automatic,Brown/Cream,None,2']
2,2018 BMW X5 XDrive35i,"$33,998*",43K miles,5 year(s),No Accidents or Damage Reported,Null,6 Service Record(s) Reported,300 torque@1200rpm,300 horsepower@5800rpm,22.4 gal,"192.4"" L x 76.3"" W x 69.4"" H","115.5""",P255/50WR19,"40.4""","40.5""",35.8 cu ft,"4,790 lbs","5,952/5,952 lbs",18 city/24 hwy,"6-cyl, Turbo Gas, 3.0L",All Wheel Drive,Automatic,Gray/Black,None,2']
3,2018 BMW X1 XDrive28i,"$24,998*",60K miles,5 year(s),,Null,5 Service Record(s) Reported,258 torque@1450rpm,228 horsepower@5000rpm,16.1 gal,"175.4"" L x 71.7"" W x 62.9"" H","105.1""",P225/50VR18,"40.4""","41.9""",27.1 cu ft,"3,697 lbs",Null,22 city/31 hwy,"4-cyl, Turbo Gas, 2.0L",All Wheel Drive,Automatic,Blue/Black,None,2']
4,2020 Hyundai Santa Fe Limited,"$27,998*",43K miles,3 year(s),No Accidents or Damage Reported,Null,,178 torque@4000rpm,185 horsepower@6000rpm,18.8 gal,"187.8"" L x 74.4"" W x 66.1"" H","108.9""",P235/60HR18,"44.1""","41.2""",35.9 cu ft,"3,803 lbs",Null,22 city/29 hwy,"4-cyl, Gas, 2.4L",Front Wheel Drive,Automatic,Black/Gray,None,2']
5,2016 Jeep Compass High Altitude,"$14,998*",111K miles,7 year(s),No Accidents or Damage Reported,Null,,165 torque@4400rpm,172 horsepower@6000rpm,13.5 gal,"175.1"" L x 71.4"" W x 65"" H","103.7""",P225/60TR17,"40.6""","39.9""",22.7 cu ft,"3,345 lbs","1,000/1,000 lbs",20 city/26 hwy,"4-cyl, Gas, 2.4L",Four Wheel Drive,Automatic,Black/Black,None,2']
6,2016 Jeep Compass Sport,"$15,998*",89K miles,7 year(s),No Accidents or Damage Reported,Null,6 Service Record(s) Reported,165 torque@4400rpm,172 horsepower@6000rpm,13.5 gal,"175.1"" L x 71.4"" W x 65"" H","103.7""",P215/60TR17,"40.6""","40.7""",22.7 cu ft,"3,258 lbs","1,000/1,000 lbs",22 city/27 hwy,"4-cyl, Gas, 2.4L",Four Wheel Drive,Automatic,Black/Black,None,2']
7,2017 GMC Terrain SLT,"$18,998*",94K miles,6 year(s),No Accidents or Damage Reported,Null,,172 torque@4900rpm,182 horsepower@6700rpm,18.8 gal,"185.50"" L x 72.80"" W x 66.30"" H","112.50""",P235/55R18,"41.20""","39.80""",Null,"4,054 lbs",Null,20 city/28 hwy,"4-cyl, Gas, 2.4L",All Wheel Drive,Automatic,Gray/Black,None,2']
8,2018 Ford Escape SEL,"$18,998*",56K miles,5 year(s),No Accidents or Damage Reported,Null,1 Service Record(s) Reported,177 torque@2500rpm,179 horsepower@6000rpm,15.7 gal,"178.1"" L x 72.4"" W x 66.3"" H","105.9""",P235/55HR17,"43.1""","39.9""",34.3 cu ft,"3,576 lbs","2,000/2,000 lbs",23 city/30 hwy,"4-cyl, Turbo Gas, 1.5L",Front Wheel Drive,Automatic,White/Black,None,2']
9,2018 Subaru Crosstrek Premium,"$20,998*",94K miles,5 year(s),No Accidents or Damage Reported,Null,,145 torque@4000rpm,152 horsepower@6000rpm,16.6 gal,"175.8"" L x 71"" W x 63.6"" H","104.9""",P225/60HR17,"43.1""","39.8""",20.8 cu ft,"3,186 lbs","1,500/1,500 lbs",27 city/33 hwy,"4-cyl, Gas, 2.0L",All Wheel Drive,Automatic,Black/Black,None,2']
10,2014 Hyundai Tucson GLS,"$14,599*",112K miles,9 year(s),No Accidents or Damage Reported,Null,,151 torque@4000rpm,164 horsepower@6200rpm,15.3 gal,Null,"103.9""",P225/60HR17,"41.2""","39.4""",25.7 cu ft,"3,232 lbs","1,000/1,000 lbs",23 city/29 hwy,"4-cyl, Gas, 2.0L",Front Wheel Drive,Automatic,Gray/Gray,None,2']
11,2013 Hyundai Santa Fe Sport,"$14,998*",117K miles,10 year(s),,Null,1 Service Record(s) Reported,181 torque@4250rpm,190 horsepower@6300rpm,17.4 gal,"184.6"" L x 74.0"" W x 66.1"" H","106.3""",P235/65R17,"41.3""","39.6""",Null,"3,459 lbs",Null,21 city/29 hwy,"4-cyl, Gas, 2.4L",Front Wheel Drive,Automatic,Orange/Gray,None,2']
12,2017 Ford Escape S,"$18,998*",48K miles,6 year(s),No Accidents or Damage Reported,Null,,170 torque@4500rpm,168 horsepower@6000rpm,15.7 gal,"178.1"" L x 72.4"" W x 66.3"" H","105.9""",P235/55HR17,"43.1""","39.9""",34.3 cu ft,"3,515 lbs","1,500/1,500 lbs",21 city/29 hwy,"4-cyl, Gas, 2.5L",Front Wheel Drive,Automatic,Orange/Gray,None,2']
13,2017 GMC Terrain SLE,"$16,998*",101K miles,6 year(s),,Null,4 Service Record(s) Reported,172 torque@4900rpm,182 horsepower@6700rpm,18.8 gal,"185.50"" L x 72.80"" W x 66.30"" H","112.50""",P235/55R18,"41.20""","39.80""",Null,"3,792 lbs",Null,21 city/31 hwy,"4-cyl, Gas, 2.4L",Front Wheel Drive,Automatic,Gray/Black,None,2']
14,2017 Mitsubishi Outlander Sport ES,"$18,998*",23K miles,6 year(s),No Accidents or Damage Reported,Null,,145 torque@4200rpm,148 horsepower@6000rpm,16.6 gal,"171.5"" L x 71.3"" W x 64.8"" H","105.1""",P225/55HR18,"41.6""","39.4""",21.7 cu ft,"3,032 lbs",Null,23 city/29 hwy,"4-cyl, Gas, 2.0L",Front Wheel Drive,Manual 5 Speed,Silver/Black,None,2']
15,2018 BMW X3 XDrive30i,"$28,998*",56K miles,5 year(s),No Accidents or Damage Reported,Null,4 Service Record(s) Reported,258 torque@1450rpm,248 horsepower@5200rpm,17.2 gal,"185.9"" L x 74.4"" W x 66"" H","112.8""",P225/60HR18,"40.3""","41.1""",28.7 cu ft,"4,156 lbs",Null,22 city/29 hwy,"4-cyl, Turbo Gas, 2.0L",All Wheel Drive,Automatic,White/Black,None,2']
16,2015 Acura MDX,"$18,998*",116K miles,8 year(s),No Accidents or Damage Reported,Null,20 Service Record(s) Reported,267 torque@4500rpm,290 horsepower@6200rpm,19.5 gal,"193.6"" L x 77.2"" W x 67.6"" H","111""",P245/55HR19,"41.4""","38.1""",14.8 cu ft,"4,294 lbs","3,500/3,500 lbs",18 city/27 hwy,"6-cyl, Gas, 3.5L",All Wheel Drive,Automatic,White/Tan,None,2']
17,2019 Jeep Compass Altitude,"$24,998*",51K miles,4 year(s),No Accidents or Damage Reported,Null,3 Service Record(s) Reported,175 torque@3900rpm,180 horsepower@6400rpm,13.5 gal,"173"" L x 73.8"" W x 64.8"" H","103.8""",P225/55HR18,"41.8""","39.2""",27.2 cu ft,"3,184 lbs","1,000/1,000 lbs",22 city/31 hwy,"4-cyl, Gas, 2.4L",Front Wheel Drive,Automatic,Black/Black,None,2']
18,2018 Porsche Macan,"$35,998*",37K miles,5 year(s),No Accidents or Damage Reported,Null,,273 torque@1600rpm,252 horsepower@5000rpm,19.8 gal,"184.3"" L x 76.1"" W x 63.9"" H","110.5""",P235/60VR18,"""","""",17.7 cu ft,"3,902 lbs","4,409/4,409 lbs",20 city/25 hwy,"4-cyl, Turbo Gas, 2.0L",All Wheel Drive,Automatic,Black/Black,None,2']
