ages,accident_damages,Insurance,service_repairs,Name,Price,Mileage,torque,horsepower,fuel_capacity,dimension,wheelbase,front_tire_size,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,mile_per_gallon,engine_text,drive_type_text,transmission_text,color_ext_int,prior_use,keys
4 year(s),No Accidents or Damage Reported,Null,,2019 Dodge Charger GT,"$26,998*",61K miles,264 torque@4800rpm,300 horsepower@6350rpm,18.5 gal,"198.4"" L x 75"" W x 58.2"" H","120.2""",P245/45ZR20,"41.8""","38.6""",Null,"3,966 lbs",Null,19 city/30 hwy,"6-cyl, Gas, 3.6L",Rear Wheel Drive,Automatic,Red/Black,,2']
6 year(s),,Null,,2017 Dodge Charger R/T Scat Pack,"$38,998*",39K miles,475 torque@4100rpm,485 horsepower@6100rpm,18.5 gal,"200.8"" L x 75"" W x 58.2"" H","120.2""",P245/45ZR20,"41.8""","38.6""",Null,"4,400 lbs",Null,15 city/25 hwy,"8-cyl, Gas, 6.4L",Rear Wheel Drive,Automatic,Black/Black,,2']
8 year(s),No Accidents or Damage Reported,Null,13 Service Record(s) Reported,2015 Ford Taurus SEL,"$14,599*",117K miles,254 torque@4000rpm,288 horsepower@6500rpm,19 gal,"202.9"" L x 76.2"" W x 60.7"" H","112.9""",P235/55HR18,"41.9""","39""",Null,"4,035 lbs",Null,19 city/29 hwy,"6-cyl, Gas, 3.5L",Front Wheel Drive,Automatic,Silver/Black,,2']
7 year(s),No Accidents or Damage Reported,Null,,2016 Audi A3 Premium,"$18,998*",90K miles,200 torque@1600rpm,170 horsepower@4500rpm,13.2 gal,"175"" L x 70.7"" W x 55.8"" H","103.8""",P225/45HR17,"41.2""","39.6""",Null,"3,175 lbs",Null,23 city/33 hwy,"4-cyl, Turbo Gas, 1.8L",Front Wheel Drive,Automatic,White/Gray,,2']
5 year(s),No Accidents or Damage Reported,Null,,2018 Toyota Camry LE,"$22,998*",60K miles,184 torque@5000rpm,203 horsepower@6600rpm,16 gal,"192.1"" L x 72.4"" W x 56.9"" H","111.2""",P215/55VR17,"42.1""","38.3""",Null,"3,296 lbs",Null,28 city/39 hwy,"4-cyl, Gas, 2.5L",Front Wheel Drive,Automatic,Black/Black,,2']
11 year(s),No Accidents or Damage Reported,Null,,2012 Kia Forte LX,"$12,998*",65K miles,144 torque@4300rpm,156 horsepower@6200rpm,13.7 gal,"178.3"" L x 69.9"" W x 57.5"" H","104.3""",P195/65R15,"43.3""","40.0""",Null,"2,729 lbs",Null,25 city/34 hwy,"4-cyl, Gas, 2.0L",Front Wheel Drive,Manual 6 Speed,White/Gray,,2']
10 year(s),No Accidents or Damage Reported,Null,,2013 Hyundai Elantra Limited,"$14,998*",90K miles,130 torque@4700rpm,145 horsepower@6300rpm,12.800 gal,"178.300"" L x 69.900"" W x 56.500"" H","106.300""",P215/45R17,"43.600""","40.000""",Null,"2,701 lbs",Null,28 city/38 hwy,"4-cyl, Gas, 1.8L",Front Wheel Drive,Automatic,Gray/Gray,,2']
6 year(s),,Null,,2017 Mercedes-Benz C300,"$24,998*",40K miles,273 torque@1300rpm,241 horsepower@5550rpm,17.4 gal,"184.5"" L x 71.3"" W x 56.8"" H","111.8""",P225/50HR17,"41.7""","37.1""",Null,"3,417 lbs",Null,24 city/34 hwy,"4-cyl, Turbo Gas, 2.0L",Rear Wheel Drive,Automatic,Black/Tan,,2']
6 year(s),No Accidents or Damage Reported,Null,,2017 Dodge Charger Daytona,"$35,998*",22K miles,395 torque@4200rpm,370 horsepower@5250rpm,18.5 gal,"198.4"" L x 75"" W x 58.2"" H","120.2""",P245/45ZR20,"41.8""","38.6""",Null,"4,264 lbs",Null,16 city/25 hwy,"8-cyl, Gas, 5.7L",Rear Wheel Drive,Automatic,Yellow/Black,,2']
6 year(s),,Null,,2017 Kia Optima Hybrid Premium,"$16,998*",90K miles,271 torque@1770rpm,192 horsepower@6000rpm,15.9 gal,"191.1"" L x 73.2"" W x 57.5"" H","110.4""",P205/65HR16,"45.5""","39.8""",Null,"3,486 lbs",Null,39 city/46 hwy,"4-cyl, Hybrid, 2.0L",Front Wheel Drive,Automatic,Silver/Black,,2']
