,Name,Price,Mileage,ages,accident_damages,Insurance,service_repairs,torque,horsepower,fuel_capacity,dimension,wheelbase,front_tire_size,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,mile_per_gallon,engine_text,drive_type_text,transmission_text,color_ext_int,prior_use,keys
0,2019 Ford Mustang Ecoboost Premium,"$24,998*",38K miles,4 year(s),No Accidents or Damage Reported,Null,,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,20 city/28 hwy,"4-cyl, Turbo Gas, 2.3L",Rear Wheel Drive,Automatic,White/Black,None,2']
1,2015 Chevrolet Camaro LS,"$20,998*",55K miles,8 year(s),No Accidents or Damage Reported,Null,,278 torque@4800rpm,323 horsepower@6800rpm,19.0 gal,"190.6"" L x 75.50"" W x 54.20"" H","112.30""",P245/55R18,"42.40""","37.40""",Null,"3,719 lbs",Null,17 city/28 hwy,"6-cyl, Gas, 3.6L",Rear Wheel Drive,Automatic,Black/Black,None,2']
2,2020 BMW Z4 sDrive30i,"$45,998*",18K miles,3 year(s),No Accidents or Damage Reported,Null,,295 torque@1550rpm,255 horsepower@5000rpm,13.7 gal,"170.7"" L x 73.4"" W x 51.4"" H","97.2""",P225/45VR18,"42.2""","38.9""",Null,"3,287 lbs",Null,24 city/32 hwy,"4-cyl, Turbo Gas, 2.0L",Rear Wheel Drive,Automatic,White/Brown,None,2']
3,2013 Chevrolet Camaro SS,"$25,998*",68K miles,10 year(s),,Null,2 Service Record(s) Reported,420 torque@4600rpm,426 horsepower@5900rpm,19.0 gal,"190.40"" L x 75.50"" W x 54.20"" H","112.30""",P245/45R20,"42.40""","37.40""",Null,"3,860 lbs",Null,16 city/24 hwy,"8-cyl, Gas, 6.2L",Rear Wheel Drive,Automatic,Red/Black,None,2']
4,2014 Dodge Challenger SXT Plus,"$24,998*",24K miles,9 year(s),No Accidents or Damage Reported,Null,,268 torque@4800rpm,305 horsepower@6350rpm,19.5 gal,"197.7"" L x 75.7"" W x 57.1"" H","116""",P235/55HR18,"42""","39.3""",Null,"3,834 lbs",Null,18 city/27 hwy,"6-cyl, Gas, 3.6L",Rear Wheel Drive,Automatic,Black/Brown,None,2']
5,2017 Chevrolet Corvette Stingray,"$45,998*",16K miles,6 year(s),No Accidents or Damage Reported,Null,6 Service Record(s) Reported,460 torque@4600rpm,455 horsepower@6000rpm,18.5 gal,"176.9"" L x 73.9"" W x 48.8"" H","106.7""",P245/40ZR18,"43""","37.9""",Null,"3,298 lbs",Null,16 city/25 hwy,"8-cyl, Gas, 6.2L",Rear Wheel Drive,Manual 7 Speed,Black/Red,None,2']
6,2020 Ford Mustang Ecoboost Premium,"$24,998*",58K miles,3 year(s),No Accidents or Damage Reported,Null,,350 torque@3000rpm,310 horsepower@5500rpm,16 gal,"188.3"" L x 75.4"" W x 54.9"" H","107.1""",P235/50WR18,"44.5""","37.6""",Null,"3,642 lbs",Null,20 city/28 hwy,"4-cyl, Turbo Gas, 2.3L",Null,Automatic,Silver/Black,None,2']
7,2018 Dodge Challenger SXT Plus,"$27,998*",31K miles,5 year(s),No Accidents or Damage Reported,Null,,268 torque@4800rpm,305 horsepower@6350rpm,18.5 gal,"197.9"" L x 75.7"" W x 57.5"" H","116.2""",P245/45YR20,"42""","39.3""",Null,"3,894 lbs",Null,19 city/30 hwy,"6-cyl, Gas, 3.6L",Rear Wheel Drive,Automatic,White/Black,None,2']
8,2018 Dodge Challenger R/T,"$29,998*",56K miles,5 year(s),,Null,3 Service Record(s) Reported,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,15 city/23 hwy,"8-cyl, Gas, 5.7L",Rear Wheel Drive,Automatic,Gray/Black,None,2']
9,2021 Mazda MX-5 Miata RF Grand Touring,"$29,998*",6K miles,2 year(s),No Accidents or Damage Reported,Null,,151 torque@4000rpm,181 horsepower@7000rpm,11.9 gal,"154.1"" L x 68.3"" W x 49"" H","90.9""",P205/45WR17,"43.1""","36.8""",Null,"2,452 lbs",Null,26 city/34 hwy,"4-cyl, Gas, 2.0L",Rear Wheel Drive,Manual 6 Speed,Gray/Black,None,2']
