ages,accident_damages,Insurance,service_repairs,Name,Price,Mileage,torque,horsepower,fuel_capacity,dimension,wheelbase,front_tire_size,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,mile_per_gallon,engine_text,drive_type_text,transmission_text,color_ext_int,prior_use,keys
9 year(s),,Null,1 Service Record(s) Reported,2014 GMC Terrain SLT,"$17,998*",81K miles,272 torque@4800rpm,301 horsepower@6500rpm,18.0 gal,"185.30"" L x 72.80"" W x 66.30"" H","112.50""",P235/60R17,"41.20""","39.80""",Null,"3,867 lbs",Null,17 city/24 hwy,"6-cyl, Gas, 3.6L",Front Wheel Drive,Automatic,Black/Brown,,2']
7 year(s),,Null,9 Service Record(s) Reported,2016 Jeep Grand Cherokee Laredo,"$19,998*",83K miles,260 torque@4000rpm,293 horsepower@6400rpm,24.6 gal,"189.8"" L x 76.5"" W x 69.3"" H","114.8""",P245/70SR17,"40.3""","39.9""",36.3 cu ft,"4,677 lbs","3,500/3,500 lbs",18 city/25 hwy,"6-cyl, Gas, 3.6L",Four Wheel Drive,Automatic,Black/Black,,2']
3 year(s),,Null,,2020 Hyundai Palisade Limited,"$42,998*",30K miles,262 torque@5200rpm,291 horsepower@6000rpm,18.8 gal,"196.1"" L x 77.8"" W x 68.9"" H","114.2""",P245/50TR20,"44.1""","39.3""",18 cu ft,"4,387 lbs","1,650/1,650 lbs",19 city/24 hwy,"6-cyl, Gas, 3.8L",All Wheel Drive,Automatic,White/Cream,,2']
11 year(s),No Accidents or Damage Reported,Null,11 Service Record(s) Reported,2012 Chevrolet Captiva Sport LT,"$12,998*",118K miles,222 torque@5100rpm,264 horsepower@6950rpm,19.2 gal,"180.1"" L x 72.8"" W x 67.0"" H","106.6""",P235/60R17,"40.7""","40.2""",Null,"3,831 lbs","3,500/3,500 lbs",17 city/24 hwy,"6-cyl, Gas, 3.0L",Front Wheel Drive,Automatic,White/Black,,2']
9 year(s),,Null,7 Service Record(s) Reported,2014 Jeep Grand Cherokee Laredo,"$16,998*",124K miles,260 torque@4800rpm,290 horsepower@6400rpm,24.6 gal,"189.8"" L x 76.5"" W x 69.3"" H","114.8""",P245/70SR17,"40.3""","39.9""",36.3 cu ft,"4,677 lbs","6,200/6,200 lbs",17 city/24 hwy,"6-cyl, Gas, 3.6L",Four Wheel Drive,Automatic,White/Black,,2']
5 year(s),No Accidents or Damage Reported,Null,3 Service Record(s) Reported,2018 Jeep Wrangler All-New Unlimited Sahara,"$32,998*",44K miles,260 torque@4800rpm,285 horsepower@6400rpm,21.5 gal,"188.4"" L x 73.8"" W x 73.6"" H","118.4""",P255/70SR18,"41.2""","42.6""",31.7 cu ft,"4,331 lbs","3,500/3,500 lbs",17 city/23 hwy,"6-cyl, Gas, 3.6L",Four Wheel Drive,Manual 6 Speed,Silver/Black,,2']
6 year(s),,Null,4 Service Record(s) Reported,2017 GMC Terrain SLE,"$16,998*",101K miles,172 torque@4900rpm,182 horsepower@6700rpm,18.8 gal,"185.50"" L x 72.80"" W x 66.30"" H","112.50""",P235/55R18,"41.20""","39.80""",Null,"3,792 lbs",Null,21 city/31 hwy,"4-cyl, Gas, 2.4L",Front Wheel Drive,Automatic,Gray/Black,,2']
7 year(s),No Accidents or Damage Reported,Null,9 Service Record(s) Reported,2016 BMW X3 XDrive28i,"$22,998*",72K miles,260 torque@1450rpm,240 horsepower@5000rpm,17.7 gal,"183.8"" L x 74.1"" W x 66.1"" H","110.6""",P245/50VR18,"39.9""","40.7""",27.6 cu ft,"4,150 lbs","3,500/3,500 lbs",21 city/28 hwy,"4-cyl, Turbo Gas, 2.0L",All Wheel Drive,Automatic,White/Tan,,2']
5 year(s),,Null,,2018 Volkswagen Tiguan Limited,"$17,998*",69K miles,207 torque@1700rpm,200 horsepower@5100rpm,16.9 gal,"174.5"" L x 71.2"" W x 67.1"" H","102.5""",P215/65HR16,"40.1""","39.1""",23.8 cu ft,"3,646 lbs","2,200/2,200 lbs",19 city/25 hwy,"4-cyl, Turbo Gas, 2.0L",All Wheel Drive,Automatic,Black/Black,,2']
7 year(s),No Accidents or Damage Reported,Null,6 Service Record(s) Reported,2016 Jeep Compass Sport,"$15,998*",89K miles,165 torque@4400rpm,172 horsepower@6000rpm,13.5 gal,"175.1"" L x 71.4"" W x 65"" H","103.7""",P215/60TR17,"40.6""","40.7""",22.7 cu ft,"3,258 lbs","1,000/1,000 lbs",22 city/27 hwy,"4-cyl, Gas, 2.4L",Four Wheel Drive,Automatic,Black/Black,,2']
6 year(s),No Accidents or Damage Reported,Null,,2017 GMC Terrain SLT,"$18,998*",94K miles,172 torque@4900rpm,182 horsepower@6700rpm,18.8 gal,"185.50"" L x 72.80"" W x 66.30"" H","112.50""",P235/55R18,"41.20""","39.80""",Null,"4,054 lbs",Null,20 city/28 hwy,"4-cyl, Gas, 2.4L",All Wheel Drive,Automatic,Gray/Black,,2']
10 year(s),No Accidents or Damage Reported,Null,1 Service Record(s) Reported,2013 Ford Edge SE,"$15,998*",80K miles,253 torque@4000rpm,285 horsepower@6500rpm,18.3 gal,"184.200"" L x 76.000"" W x 67.000"" H","111.200""",P235/65R17,"40.700""","40.000""",Null,"4,056 lbs",Null,19 city/27 hwy,"6-cyl, Gas, 3.5L",Front Wheel Drive,Automatic,Black/Black,,2']
9 year(s),No Accidents or Damage Reported,Null,,2014 Hyundai Tucson GLS,"$14,599*",112K miles,151 torque@4000rpm,164 horsepower@6200rpm,15.3 gal,Null,"103.9""",P225/60HR17,"41.2""","39.4""",25.7 cu ft,"3,232 lbs","1,000/1,000 lbs",23 city/29 hwy,"4-cyl, Gas, 2.0L",Front Wheel Drive,Automatic,Gray/Gray,,2']
10 year(s),No Accidents or Damage Reported,Null,,2013 Jeep Wrangler Sport,"$19,998*",82K miles,260 torque@4800rpm,285 horsepower@6400rpm,18.6 gal,"152.8"" L x 73.7"" W x 70.9"" H","95.4""",P225/75R16,"41.0""","41.3""",Null,"3,760 lbs",Null,17 city/21 hwy,"6-cyl, Gas, 3.6L",Four Wheel Drive,Manual 6 Speed,Black/Black,,2']
10 year(s),,Null,1 Service Record(s) Reported,2013 Hyundai Santa Fe Sport,"$14,998*",117K miles,181 torque@4250rpm,190 horsepower@6300rpm,17.4 gal,"184.6"" L x 74.0"" W x 66.1"" H","106.3""",P235/65R17,"41.3""","39.6""",Null,"3,459 lbs",Null,21 city/29 hwy,"4-cyl, Gas, 2.4L",Front Wheel Drive,Automatic,Orange/Gray,,2']
4 year(s),No Accidents or Damage Reported,Null,1 Service Record(s) Reported,2019 Kia Niro EX,"$24,998*",55K miles,195 torque@2400rpm,139 horsepower@5700rpm,11.9 gal,"171.5"" L x 71.1"" W x 60.4"" H","106.3""",P205/60HR16,"41.7""","40.1""",19.4 cu ft,"3,199 lbs",Null,51 city/46 hwy,"4-cyl, Hybrid, 1.6L",Front Wheel Drive,Automatic,Blue/Gray,,2']
4 year(s),No Accidents or Damage Reported,Null,3 Service Record(s) Reported,2019 Jeep Compass Altitude,"$24,998*",51K miles,175 torque@3900rpm,180 horsepower@6400rpm,13.5 gal,"173"" L x 73.8"" W x 64.8"" H","103.8""",P225/55HR18,"41.8""","39.2""",27.2 cu ft,"3,184 lbs","1,000/1,000 lbs",22 city/31 hwy,"4-cyl, Gas, 2.4L",Front Wheel Drive,Automatic,Black/Black,,2']
6 year(s),No Accidents or Damage Reported,Null,,2017 Mitsubishi Outlander Sport ES,"$18,998*",23K miles,145 torque@4200rpm,148 horsepower@6000rpm,16.6 gal,"171.5"" L x 71.3"" W x 64.8"" H","105.1""",P225/55HR18,"41.6""","39.4""",21.7 cu ft,"3,032 lbs",Null,23 city/29 hwy,"4-cyl, Gas, 2.0L",Front Wheel Drive,Manual 5 Speed,Silver/Black,,2']
8 year(s),No Accidents or Damage Reported,Null,,2015 Subaru Forester 2.0XT Touring,"$17,998*",114K miles,258 torque@2000rpm,250 horsepower@5600rpm,15.9 gal,"180.9"" L x 70.7"" W x 68.2"" H","103.9""",P225/55HR18,"43""","40""",31.5 cu ft,"3,651 lbs","1,500/1,500 lbs",23 city/28 hwy,"4-cyl, Turbo Gas, 2.0L",All Wheel Drive,Automatic,Gray/Black,,2']
6 year(s),,Null,10 Service Record(s) Reported,2017 Kia Soul,"$15,998*",45K miles,118 torque@4850rpm,130 horsepower@6300rpm,14.2 gal,"163"" L x 70.9"" W x 63.5"" H","101.2""",P205/60HR16,"40.9""","39.6""",Null,"2,942 lbs",Null,25 city/30 hwy,"4-cyl, Gas, 1.6L",Front Wheel Drive,Automatic,Green/Black,,2']
8 year(s),No Accidents or Damage Reported,Null,,2015 Nissan Juke SL,"$17,998*",55K miles,177 torque@2000rpm,188 horsepower@5600rpm,13.2 gal,"162.4"" L x 69.5"" W x 61.8"" H","99.6""",P215/55VR17,"42.1""","38.6""",10.5 cu ft,"3,007 lbs",Null,28 city/32 hwy,"4-cyl, Turbo Gas, 1.6L",Front Wheel Drive,Automatic,White/Black,,2']
Current Year,No Accidents or Damage Reported,Null,,2023 Volkswagen Tiguan SE,"$31,998*",1K miles,221 torque@1900rpm,184 horsepower@6000rpm,15.3 gal,"186.1"" L x 72.4"" W x 66.4"" H","109.9""",P235/55HR18,"40.2""","39.6""",12 cu ft,"3,765 lbs","1,500/1,500 lbs",Null,"4-cyl, Turbo Gas, 2.0L",Front Wheel Drive,Automatic,Gray/Black,,2']
1 year(s),No Accidents or Damage Reported,Null,,2022 Toyota 4Runner SR5,"$34,998*",33K miles,278 torque@4400rpm,270 horsepower@5600rpm,23 gal,"190.2"" L x 75.8"" W x 71.5"" H","109.8""",P265/70SR17,"41.7""","39.3""",47.2 cu ft,"4,400 lbs","5,000/5,000 lbs",Null,"6-cyl, Gas, 4.0L",Rear Wheel Drive,Automatic,White/Black,,2']
5 year(s),No Accidents or Damage Reported,Null,4 Service Record(s) Reported,2018 BMW X3 XDrive30i,"$28,998*",56K miles,258 torque@1450rpm,248 horsepower@5200rpm,17.2 gal,"185.9"" L x 74.4"" W x 66"" H","112.8""",P225/60HR18,"40.3""","41.1""",28.7 cu ft,"4,156 lbs",Null,22 city/29 hwy,"4-cyl, Turbo Gas, 2.0L",All Wheel Drive,Automatic,White/Black,,2']
7 year(s),,Null,6 Service Record(s) Reported,2016 Jeep Grand Cherokee 75TH Anniversary Edition,"$23,998*",94K miles,260 torque@4000rpm,293 horsepower@6400rpm,24.6 gal,"189.8"" L x 76.5"" W x 69.3"" H","114.8""",P265/60TR18,"40.3""","39.9""",36.3 cu ft,"4,677 lbs","3,500/3,500 lbs",18 city/25 hwy,"6-cyl, Gas, 3.6L",Four Wheel Drive,Automatic,Gray/Black,,2']
5 year(s),No Accidents or Damage Reported,Null,,2018 Porsche Macan,"$35,998*",37K miles,273 torque@1600rpm,252 horsepower@5000rpm,19.8 gal,"184.3"" L x 76.1"" W x 63.9"" H","110.5""",P235/60VR18,"""","""",17.7 cu ft,"3,902 lbs","4,409/4,409 lbs",20 city/25 hwy,"4-cyl, Turbo Gas, 2.0L",All Wheel Drive,Automatic,Black/Black,,2']
5 year(s),No Accidents or Damage Reported,Null,6 Service Record(s) Reported,2018 Kia Sorento LX,"$20,998*",60K miles,178 torque@4000rpm,185 horsepower@6000rpm,18.8 gal,"187.4"" L x 74.4"" W x 66.3"" H","109.4""",P235/65HR17,"44.1""","39.5""",11.3 cu ft,"3,840 lbs","2,000/2,000 lbs",21 city/25 hwy,"4-cyl, Gas, 2.4L",All Wheel Drive,Automatic,Gray/Black,,2']
3 year(s),No Accidents or Damage Reported,Null,6 Service Record(s) Reported,2020 Chevrolet Equinox LT,"$21,998*",60K miles,203 torque@2000-4000rpm,170 horsepower@5600rpm,15.6 gal,"183.1"" L x 72.6"" W x 65.4"" H","107.3""",P225/65R17,"40.9""","40""",Null,"3,478 lbs",Null,25 city/30 hwy,"4-cyl, Turbo Gas, 1.5L",All Wheel Drive,Automatic,Black/Black,,2']
7 year(s),No Accidents or Damage Reported,Null,,2016 Volvo XC60 T5 Premier,"$16,998*",113K miles,258 torque@1500rpm,240 horsepower@5600rpm,18.5 gal,"182.8"" L x 74.4"" W x 67.4"" H","109.2""",P235/60HR18,"41.2""","38""",30.8 cu ft,"4,041 lbs","3,500/3,500 lbs",23 city/31 hwy,"4-cyl, Turbo Gas, 2.0L",Front Wheel Drive,Automatic,White/Black,,2']
5 year(s),No Accidents or Damage Reported,Null,,2018 Jeep Compass Latitude,"$19,998*",55K miles,175 torque@3900rpm,180 horsepower@6400rpm,13.5 gal,"173"" L x 73.8"" W x 64.8"" H","103.8""",P225/60TR17,"41.8""","39.2""",27.2 cu ft,"3,327 lbs","1,000/1,000 lbs",22 city/31 hwy,"4-cyl, Gas, 2.4L",Four Wheel Drive,Automatic,Gray/Black,,2']
2 year(s),No Accidents or Damage Reported,Null,,2021 Volvo XC40 T5 R-Design,"$36,998*",8K miles,258 torque@1800rpm,248 horsepower@5500rpm,14.2 gal,"174.2"" L x 73.3"" W x 65.3"" H","106.4""",P235/50HR19,"40.9""","37.6""",16 cu ft,"3,756 lbs","3,500/3,500 lbs",Null,"4-cyl, Turbo Gas, 2.0L",All Wheel Drive,Automatic,White/Black,,2']
5 year(s),,Null,6 Service Record(s) Reported,2018 Kia Sportage EX,"$17,998*",82K miles,175 torque@4000rpm,181 horsepower@6000rpm,16.4 gal,"176.4"" L x 73"" W x 64.8"" H","105.1""",P235/55HR18,"41.5""","39.3""",30.7 cu ft,"3,305 lbs","1,650/1,650 lbs",22 city/29 hwy,"4-cyl, Gas, 2.4L",Front Wheel Drive,Automatic,Blue/Black,,2']
7 year(s),,Null,,2016 Jeep Patriot High Altitude,"$15,998*",97K miles,141 torque@5000rpm,158 horsepower@6400rpm,13.6 gal,"173.8"" L x 69.2"" W x 65.5"" H","103.7""",P215/60TR17,"40.6""","41""",23 cu ft,"3,210 lbs","1,000/1,000 lbs",22 city/26 hwy,"4-cyl, Gas, 2.0L",Front Wheel Drive,Automatic,White/Black,,2']
3 year(s),No Accidents or Damage Reported,Null,,2020 Chevrolet Traverse LS,"$27,998*",44K miles,266 torque@2800rpm,310 horsepower@6800rpm,21.7 gal,"204.3"" L x 78.6"" W x 70.7"" H","120.9""",P255/65R18,"41""","41.3""",23.0 cu ft,Null,Null,17 city/25 hwy,"6-cyl, Gas, 3.6L",All Wheel Drive,Automatic,Silver/Black,,2']
7 year(s),,Null,5 Service Record(s) Reported,2016 Dodge Journey Crossroad Plus,"$16,998*",98K miles,260 torque@4400rpm,283 horsepower@6350rpm,20.5 gal,"192.4"" L x 72.2"" W x 66.6"" H","113.8""",P225/55HR19,"40.8""","40.8""",10.7 cu ft,"3,907 lbs","1,000/1,000 lbs",19 city/26 hwy,"6-cyl, Gas, 3.6L",Front Wheel Drive,Automatic,Black/Black,,2']
5 year(s),,Null,9 Service Record(s) Reported,2018 Infiniti QX60,"$25,998*",66K miles,270 torque@4800rpm,295 horsepower@6400rpm,19.5 gal,"200.1"" L x 77.2"" W x 68.6"" H","114.2""",P235/65TR18,"42.2""","40.7""",16 cu ft,"4,527 lbs","5,000/5,000 lbs",19 city/26 hwy,"6-cyl, Gas, 3.5L",All Wheel Drive,Automatic,White/Black,,2']
4 year(s),No Accidents or Damage Reported,Null,3 Service Record(s) Reported,2019 Cadillac XT5 Premium Luxury,"$34,998*",7K miles,271 torque@5000rpm,310 horsepower@6600rpm,19.4 gal,"189.5"" L x 75.0"" W x 66.0"" H","112.5""",P235/55R20,"41.2""","38.4""",Null,"4,113 lbs","3,500/3,500 lbs",19 city/26 hwy,"6-cyl, Gas, 3.6L",Front Wheel Drive,Automatic,Black/Black,,2']
4 year(s),No Accidents or Damage Reported,Null,2 Service Record(s) Reported,2019 Jeep Compass Sport,"$20,998*",40K miles,175 torque@3900rpm,180 horsepower@6400rpm,13.5 gal,"173"" L x 73.8"" W x 64.6"" H","103.8""",P215/65HR16,"41.8""","39.2""",27.2 cu ft,"3,184 lbs","1,000/1,000 lbs",23 city/32 hwy,"4-cyl, Gas, 2.4L",Front Wheel Drive,Automatic,Blue/Black,,2']
3 year(s),No Accidents or Damage Reported,Null,,2020 Jeep Renegade Altitude,"$23,998*",13K miles,175 torque@3900rpm,180 horsepower@6400rpm,12.7 gal,"166.6"" L x 74.2"" W x 66.5"" H","101.2""",P215/60TR17,"41.2""","41.1""",18.5 cu ft,"3,056 lbs",Null,22 city/30 hwy,"4-cyl, Gas, 2.4L",Front Wheel Drive,Automatic,Black/Black,,2']
11 year(s),No Accidents or Damage Reported,Null,1 Service Record(s) Reported,2012 Jeep Grand Cherokee Overland,"$18,998*",103K miles,260 torque@4800rpm,290 horsepower@6400rpm,24.6 gal,"189.8"" L x 76.3"" W x 69.4"" H","114.8""",P265/50R20,"40.3""","39.9""",Null,"4,910 lbs",Null,16 city/23 hwy,"6-cyl, Gas, 3.6L",Four Wheel Drive,Automatic,Black/Black,,2']
3 year(s),No Accidents or Damage Reported,Null,,2020 Jeep Cherokee Latitude,"$22,998*",49K miles,171 torque@4600rpm,180 horsepower@6400rpm,15.8 gal,"182"" L x 73.2"" W x 65.7"" H","106.5""",P225/60TR17,"41.1""","39.4""",25.8 cu ft,"3,590 lbs","2,000/2,000 lbs",22 city/31 hwy,"4-cyl, Gas, 2.4L",Front Wheel Drive,Automatic,White/Black,,2']
1 year(s),No Accidents or Damage Reported,Null,,2022 Chevrolet Tahoe Z71,"$65,998*",34K miles,383 torque@4100rpm,355 horsepower@5600rpm,24 gal,"210.7"" L x 81"" W x 75.9"" H","120.9""",275/60R20,"44.5""","42.3""",25.5 cu ft,"5,544 lbs","8,200/8,200 lbs",20 hwy,"8-cyl, Gas, 5.3L",Four Wheel Drive,Automatic,White/Black,,2']
5 year(s),,Null,5 Service Record(s) Reported,2018 BMW X1 XDrive28i,"$24,998*",60K miles,258 torque@1450rpm,228 horsepower@5000rpm,16.1 gal,"175.4"" L x 71.7"" W x 62.9"" H","105.1""",P225/50VR18,"40.4""","41.9""",27.1 cu ft,"3,697 lbs",Null,22 city/31 hwy,"4-cyl, Turbo Gas, 2.0L",All Wheel Drive,Automatic,Blue/Black,,2']
6 year(s),,Null,7 Service Record(s) Reported,2017 Jeep Grand Cherokee Limited,"$23,998*",83K miles,260 torque@4000rpm,293 horsepower@6400rpm,24.6 gal,"189.8"" L x 76.5"" W x 69.3"" H","114.8""",P265/60TR18,"40.3""","39.9""",36.3 cu ft,"4,875 lbs","3,500/3,500 lbs",18 city/25 hwy,"6-cyl, Gas, 3.6L",Four Wheel Drive,Automatic,Blue/Black,,2']
7 year(s),,Null,1 Service Record(s) Reported,2016 Kia Sorento EX,"$18,998*",76K miles,260 torque@1450rpm,240 horsepower@6000rpm,18.8 gal,"187.4"" L x 74.4"" W x 66.3"" H","109.4""",P235/60HR18,"44.1""","39.5""",38.8 cu ft,"4,004 lbs","3,500/3,500 lbs",19 city/25 hwy,"4-cyl, Turbo Gas, 2.0L",All Wheel Drive,Automatic,White/Black,,2']
2 year(s),No Accidents or Damage Reported,Null,,2021 Buick Enclave Premium,"$42,998*",8K miles,266 torque@2800rpm,310 horsepower@6800rpm,21.7 gal,"204.3"" L x 78.8"" W x 69.9"" H","120.9""",P255/65R18,"41.2""","42.6""",23.6 cu ft,"4,614 lbs",Null,Null,"6-cyl, Gas, 3.6L",All Wheel Drive,Automatic,Gray/Cream,,2']
