ages,accident_damages,Insurance,service_repairs,Name,Price,Mileage,torque,horsepower,fuel_capacity,dimension,wheelbase,front_tire_size,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,mile_per_gallon,engine_text,drive_type_text,transmission_text,color_ext_int,prior_use,keys
8 year(s),No Accidents or Damage Reported,Null,,2015 Nissan Frontier SV,"$21,998*",62K miles,281 torque@4000rpm,261 horsepower@5600rpm,21.1 gal,"205.5"" L x 72.8"" W x 69.7"" H","125.9""",P265/70TR16,"42.4""","39.7""",Null,"4,140 lbs","6,500/6,500 lbs",16 city/22 hwy,"6-cyl, Gas, 4.0L",Rear Wheel Drive,Automatic,Gray/Black,,2']
3 year(s),No Accidents or Damage Reported,Null,,2020 Chevrolet Silverado 1500 Custom,"$35,998*",16K miles,305 torque@3900rpm,285 horsepower@5300rpm,24 gal,"241.21"" L x 81.24"" W x 75.35"" H","156.95""",275/60R20,"44.53""","43.03""",Null,"4,674 lbs","9,600/9,600 lbs",16 city/21 hwy,"6-cyl, Gas, 4.3L",Rear Wheel Drive,Automatic,Black/Black,,2']
8 year(s),,Null,,2015 Ram 1500 Sport,"$26,998*",121K miles,410 torque@3950rpm,395 horsepower@5600rpm,26 gal,"229"" L x 79.4"" W x 78.1"" H","140""",P275/60SR20,"41""","41""",Null,"5,484 lbs","7,940/7,940 lbs",15 city/21 hwy,"8-cyl, Gas, 5.7L",Four Wheel Drive,Automatic,Gray/Black,,2']
3 year(s),No Accidents or Damage Reported,Null,,2020 Chevrolet Silverado 1500 LT,"$36,998*",27K miles,348 torque@1500rpm,310 horsepower@5600rpm,24 gal,"241.21"" L x 81.24"" W x 75.4"" H","156.95""",255/70R17,"44.53""","43.03""",Null,"4,867 lbs","11,300/11,300 lbs",19 city/22 hwy,"4-cyl, Turbo Gas, 2.7L",Four Wheel Drive,Automatic,Black/Black,,2']
3 year(s),No Accidents or Damage Reported,Null,,2020 Chevrolet Silverado 2500 Work Truck,"$47,998*",10K miles,464 torque@4000rpm,401 horsepower@5200rpm,36 gal,"249.95"" L x 81.85"" W x 79.82"" H","158.94""",LT245/75R17E,"44.53""","43.03""",Null,"6,633 lbs","18,500/18,500 lbs",Null,"8-cyl, Gas, 6.6L",Four Wheel Drive,Automatic,Silver/Black,,2']
5 year(s),,Null,,2018 Toyota Tacoma SR5,"$31,998*",45K miles,265 torque@4600rpm,278 horsepower@6000rpm,21.1 gal,"225.5"" L x 74.4"" W x 70.6"" H","140.6""",P245/75SR16,"42.9""","39.7""",Null,"4,425 lbs","6,400/6,400 lbs",18 city/22 hwy,"6-cyl, Gas, 3.5L",Four Wheel Drive,Automatic,Black/Black,,2']
4 year(s),,Null,,2019 Ram 1500 Rebel,"$41,998*",42K miles,410 torque@3950rpm,395 horsepower@5600rpm,26 gal,"232.9"" L x 82.1"" W x 77.6"" H","144.5""",LT275/70RR18,"40.9""","40.9""",Null,"5,372 lbs","7,160/7,160 lbs",15 city/21 hwy,"8-cyl, Gas, 5.7L",Four Wheel Drive,Automatic,Gray/Black,,2']
4 year(s),,Null,,2019 Toyota Tacoma TRD Sport,"$33,998*",56K miles,265 torque@4600rpm,278 horsepower@6000rpm,21.1 gal,"212.3"" L x 75.2"" W x 70.6"" H","127.4""",P265/65SR17,"42.9""","39.7""",Null,"4,325 lbs","6,500/6,500 lbs",18 city/22 hwy,"6-cyl, Gas, 3.5L",Four Wheel Drive,Automatic,Gray/Gray,,2']
5 year(s),No Accidents or Damage Reported,Null,1 Service Record(s) Reported,2018 Ram 1500 Laramie,"$29,998*",110K miles,420 torque@2000rpm,240 horsepower@3600rpm,26 gal,"229"" L x 79.4"" W x 78.1"" H","140""",P275/60SR20,"41""","41""",Null,"5,338 lbs","4,200/4,200 lbs",19 city/27 hwy,"6-cyl, Turbo Diesel, 3.0L",Four Wheel Drive,Automatic,Black/Black,,2']
4 year(s),No Accidents or Damage Reported,Null,,2019 Ram 1500 Laramie,"$39,998*",44K miles,410 torque@3950rpm,395 horsepower@5600rpm,26 gal,"241.8"" L x 82.1"" W x 77.5"" H","153.5""",P275/65SR18,"40.9""","40.9""",Null,"5,160 lbs","6,320/6,320 lbs",15 city/21 hwy,"8-cyl, Gas, 5.7L",Four Wheel Drive,Automatic,Black/Black,,2']
