Unnamed: 0,Name,Price,Mileage,ages,accident_damages,Insurance,service_repairs,fuel_capacity,wheelbase,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,drive_type_text,transmission_text,torque_num,torque_rpm,dimension_L,dimension_W,dimension_H,mile_per_gallon_city,mile_per_gallon_hwy,engine_cly,engine_fuel,engine_L,color_ext,color_int,torque
1,2015 Chevrolet Camaro LS,"$20,998*",55K miles,8 year(s),No Accidents or Damage Reported,Null,,19.0 gal,"112.30""","42.40""","37.40""",Null,"3,719 lbs",Null,Rear Wheel Drive,Automatic,278,4800,"190.6"" L "," 75.50"" W "," 54.20"" H",17 city,28 hwy,6-cyl, Gas, 3.6L,Black,Black,579.1666666666666
2,2021 Chevrolet Corvette Stingray 2LT,"$75,998*",17K miles,2 year(s),No Accidents or Damage Reported,Null,,18.5 gal,"107.2""","42.8""","37.9""",Null,"3,366 lbs",Null,Rear Wheel Drive,Automatic,465,5150,"182.3"" L "," 76.1"" W "," 48.6"" H",15 city,27 hwy,8-cyl, Gas, 6.2L,Gray,Black,902.9126213592233
3,2018 Dodge Challenger SXT Plus,"$27,998*",31K miles,5 year(s),No Accidents or Damage Reported,Null,,18.5 gal,"116.2""","42""","39.3""",Null,"3,894 lbs",Null,Rear Wheel Drive,Automatic,268,4800,"197.9"" L "," 75.7"" W "," 57.5"" H",19 city,30 hwy,6-cyl, Gas, 3.6L,White,Black,558.3333333333334
4,2014 Dodge Challenger SXT Plus,"$24,998*",24K miles,9 year(s),No Accidents or Damage Reported,Null,,19.5 gal,"116""","42""","39.3""",Null,"3,834 lbs",Null,Rear Wheel Drive,Automatic,268,4800,"197.7"" L "," 75.7"" W "," 57.1"" H",18 city,27 hwy,6-cyl, Gas, 3.6L,Black,Brown,558.3333333333334
5,2020 Subaru BRZ Limited,"$28,998*",28K miles,3 year(s),No Accidents or Damage Reported,Null,,13.2 gal,"101.2""","41.9""","37.1""",Null,"2,798 lbs",Null,Rear Wheel Drive,Manual 6 Speed,156,6400,"166.7"" L "," 69.9"" W "," 52"" H",21 city,29 hwy,4-cyl, Gas, 2.0L,Gray,Black,243.75
6,2013 Chevrolet Camaro SS,"$25,998*",68K miles,10 year(s),,Null,2 Service Record(s) Reported,19.0 gal,"112.30""","42.40""","37.40""",Null,"3,860 lbs",Null,Rear Wheel Drive,Automatic,420,4600,"190.40"" L "," 75.50"" W "," 54.20"" H",16 city,24 hwy,8-cyl, Gas, 6.2L,Red,Black,913.0434782608696
7,2015 Volkswagen Beetle,"$20,998*",62K miles,8 year(s),,Null,,14.5 gal,"100""","41.3""","39.3""",Null,"3,225 lbs",Null,Front Wheel Drive,Automatic,184,1500,"168.4"" L "," 71.2"" W "," 58"" H",24 city,32 hwy,4-cyl, Turbo Gas, 1.8L,Black,Tan,1226.6666666666665
8,2017 Chevrolet Corvette Stingray,"$46,998*",16K miles,6 year(s),No Accidents or Damage Reported,Null,6 Service Record(s) Reported,18.5 gal,"106.7""","43""","37.9""",Null,"3,298 lbs",Null,Rear Wheel Drive,Manual 7 Speed,460,4600,"176.9"" L "," 73.9"" W "," 48.8"" H",16 city,25 hwy,8-cyl, Gas, 6.2L,Black,Red,1000.0
9,2020 Ford Mustang Ecoboost Premium,"$24,998*",58K miles,3 year(s),No Accidents or Damage Reported,Null,,16 gal,"107.1""","44.5""","37.6""",Null,"3,642 lbs",Null,Null,Automatic,350,3000,"188.3"" L "," 75.4"" W "," 54.9"" H",20 city,28 hwy,4-cyl, Turbo Gas, 2.3L,Silver,Black,1166.6666666666667
10,2018 BMW M4,"$53,998*",21K miles,5 year(s),No Accidents or Damage Reported,Null,3 Service Record(s) Reported,15.9 gal,"110.7""","42.2""","39.8""",Null,"3,530 lbs",Null,Null,Automatic,406,1850,"184.5"" L "," 73.6"" W "," 54.4"" H",17 city,25 hwy,6-cyl, Turbo Gas, 3.0L,Silver,Black,2194.5945945945946
11,2021 Dodge Challenger R/T Scat Pack,"$43,998*",32K miles,2 year(s),No Accidents or Damage Reported,Null,,18.5 gal,"116.2""","42""","39.3""",Null,"4,230 lbs",Null,Null,Automatic,475,4100,"197.9"" L "," 75.7"" W "," 57.7"" H",14 city,23 hwy,8-cyl, Gas, 6.4L,Green,Black,1158.5365853658536
12,2021 Ford Mustang Ecoboost Premium,"$30,998*",28K miles,2 year(s),No Accidents or Damage Reported,Null,4 Service Record(s) Reported,16 gal,"107.1""","44.5""","37.6""",Null,"3,642 lbs",Null,Null,Automatic,350,3000,"188.3"" L "," 75.4"" W "," 54.9"" H",27 hwy,,4-cyl, Turbo Gas, 2.3L,Blue,Black,1166.6666666666667
14,2019 Ford Mustang GT Premium,"$29,998*",39K miles,4 year(s),No Accidents or Damage Reported,Null,,16 gal,"107.1""","44.5""","37.6""",Null,"3,825 lbs",Null,Null,Automatic,420,4600,"188.3"" L "," 75.4"" W "," 54.9"" H",Null,Null,8-cyl, Gas, 5.0L,Silver,Black,913.0434782608696
15,2020 Dodge Challenger R/T Scat Pack Widebody,"$52,998*",12K miles,3 year(s),,Null,,18.5 gal,"116.2""","42""","39.3""",Null,"4,308 lbs",Null,Null,Automatic,475,4100,"197.9"" L "," 79.2"" W "," 57.5"" H",14 city,23 hwy,8-cyl, Gas, 6.4L,Blue,Black,1158.5365853658536
17,2021 Chevrolet Camaro LT1,"$35,998*",24K miles,2 year(s),No Accidents or Damage Reported,Null,,19.0 gal,"110.7""","43.9""","38.5""",Null,"3,619 lbs",Null,Rear Wheel Drive,Manual 6 Speed,455,4400,"188.3"" L "," 74.7"" W "," 53.1"" H",Null,Null,8-cyl, Gas, 6.2L,Gray,Black,1034.090909090909
18,2022 Ford Mustang Ecoboost Premium,"$30,998*",11K miles,1 year(s),No Accidents or Damage Reported,Null,,16 gal,"107.1""","44.5""","37.6""",Null,"3,532 lbs",Null,Null,Automatic,350,3000,"188.3"" L "," 75.4"" W "," 54.4"" H",29 hwy,,4-cyl, Turbo Gas, 2.3L,Black,Black,1166.6666666666667
19,2012 Infiniti G37,"$23,998*",29K miles,11 year(s),No Accidents or Damage Reported,Null,2 Service Record(s) Reported,20.0 gal,"112.2""","43.9""","39.4""",Null,"4,083 lbs",Null,Rear Wheel Drive,Automatic,267,5200,"183.3"" L "," 72.9"" W "," 55.1"" H",17 city,25 hwy,6-cyl, Gas, 3.7L,Gray,Gray,513.4615384615385
20,2020 Ford Mustang GT Premium,"$36,998*",35K miles,3 year(s),No Accidents or Damage Reported,Null,,16 gal,"107.1""","44.5""","37.6""",Null,"3,825 lbs",Null,Null,Automatic,420,4600,"188.3"" L "," 75.4"" W "," 54.9"" H",15 city,24 hwy,8-cyl, Gas, 5.0L,Red,Red,913.0434782608696
22,2021 Ford Mustang Ecoboost Premium,"$25,998*",37K miles,2 year(s),No Accidents or Damage Reported,Null,,16 gal,"107.1""","44.5""","37.6""",Null,"3,642 lbs",Null,Null,Automatic,350,3000,"188.3"" L "," 75.4"" W "," 54.9"" H",27 hwy,,4-cyl, Turbo Gas, 2.3L,Silver,Black,1166.6666666666667
23,2020 Toyota 86 Hakone Edition,"$32,998*",6K miles,3 year(s),No Accidents or Damage Reported,Null,,13.2 gal,"101.2""","41.9""","37.1""",Null,"2,817 lbs",Null,Rear Wheel Drive,Automatic,151,6400,"166.7"" L "," 69.9"" W "," 50.6"" H",24 city,32 hwy,4-cyl, Gas, 2.0L,Green,Black,235.9375
25,2019 Toyota 86,"$22,998*",96K miles,4 year(s),No Accidents or Damage Reported,Null,,13.2 gal,"101.2""","41.9""","37.1""",Null,"2,776 lbs",Null,Rear Wheel Drive,Manual 6 Speed,156,6400,"166.7"" L "," 69.9"" W "," 50.6"" H",21 city,28 hwy,4-cyl, Gas, 2.0L,Black,Black,243.75
27,2021 Ford Mustang Ecoboost Premium,"$25,998*",57K miles,2 year(s),No Accidents or Damage Reported,Null,,16 gal,"107.1""","44.5""","37.6""",Null,"3,642 lbs",Null,Null,Automatic,350,3000,"188.3"" L "," 75.4"" W "," 54.9"" H",27 hwy,,4-cyl, Turbo Gas, 2.3L,White,Black,1166.6666666666667
28,2019 Volkswagen Beetle Final Edition SEL,"$34,998*",27K miles,4 year(s),No Accidents or Damage Reported,Null,5 Service Record(s) Reported,14.5 gal,"100.1""","41.3""","39.3""",Null,"3,239 lbs",Null,Front Wheel Drive,Automatic,184,1500,"168.8"" L "," 71.9"" W "," 58"" H",26 city,33 hwy,4-cyl, Turbo Gas, 2.0L,White,Black,1226.6666666666665
31,2019 Chevrolet Camaro 2SS,"$34,998*",57K miles,4 year(s),No Accidents or Damage Reported,Null,,19.0 gal,"110.7""","43.9""","38.4""",Null,"3,956 lbs",Null,Null,Automatic,455,4400,"188.3"" L "," 74.7"" W "," 52.9"" H",16 city,24 hwy,8-cyl, Gas, 6.2L,White,Black,1034.090909090909
32,2023 Subaru BRZ Limited,"$31,998*",2K miles,Current Year,No Accidents or Damage Reported,Null,,13.2 gal,"101.4""","41.5""","37""",Null,"2,835 lbs",Null,Rear Wheel Drive,Manual 6 Speed,184,3700,"167.9"" L "," 69.9"" W "," 51.6"" H",20 city,27 hwy,4-cyl, Gas, 2.4L,Red,Black,497.2972972972973
34,2017 Ford Mustang Ecoboost Premium,"$22,998*",64K miles,6 year(s),No Accidents or Damage Reported,Null,,15.5 gal,"107.1""","44.5""","37.6""",Null,"3,532 lbs",Null,Rear Wheel Drive,Manual 6 Speed,320,2500,"188.3"" L "," 75.4"" W "," 54.4"" H",21 city,30 hwy,4-cyl, Turbo Gas, 2.3L,Black,Black,1280.0
36,2021 Dodge Challenger R/T Scat Pack,"$41,998*",15K miles,2 year(s),,Null,,18.5 gal,"116.2""","42""","39.3""",Null,"4,230 lbs",Null,Null,Automatic,475,4100,"197.9"" L "," 75.7"" W "," 57.7"" H",14 city,23 hwy,8-cyl, Gas, 6.4L,Gray,Black,1158.5365853658536
37,2018 Ford Mustang Ecoboost Premium,"$24,998*",32K miles,5 year(s),,Null,,15.5 gal,"107.1""","44.5""","37.6""",Null,"3,532 lbs",Null,Rear Wheel Drive,Automatic,350,3000,"188.3"" L "," 75.4"" W "," 54.4"" H",21 city,31 hwy,4-cyl, Turbo Gas, 2.3L,Red,Black,1166.6666666666667
38,2014 Ford Mustang,"$18,998*",60K miles,9 year(s),No Accidents or Damage Reported,Null,4 Service Record(s) Reported,16 gal,"107.1""","42.4""","38.8""",Null,"3,630 lbs",Null,Rear Wheel Drive,Automatic,280,4250,"188.5"" L "," 73.9"" W "," 55.8"" H",19 city,29 hwy,6-cyl, Gas, 3.7L,Gray,Black,658.8235294117648
