ages,accident_damages,Insurance,service_repairs,Name,Price,Mileage,fuel_capacity,wheelbase,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,drive_type_text,transmission_text,torque_num,torque_rpm,dimension_L,dimension_W,dimension_H,mile_per_gallon_city,mile_per_gallon_hwy,engine_cly,engine_fuel,engine_L,color_ext,color_int,torque
4 year(s),No Accidents or Damage Reported,Null,,2019 Dodge Charger GT,"$26,998*",61K miles,18.5 gal,"120.2""","41.8""","38.6""",Null,"3,966 lbs",Null,Rear Wheel Drive,Automatic,264,4800,"198.4"" L "," 75"" W "," 58.2"" H",19 city,30 hwy,6-cyl, Gas, 3.6L,Red,Black,550.0
6 year(s),,Null,,2017 Dodge Charger R/T Scat Pack,"$38,998*",39K miles,18.5 gal,"120.2""","41.8""","38.6""",Null,"4,400 lbs",Null,Rear Wheel Drive,Automatic,475,4100,"200.8"" L "," 75"" W "," 58.2"" H",15 city,25 hwy,8-cyl, Gas, 6.4L,Black,Black,1158.5365853658536
8 year(s),No Accidents or Damage Reported,Null,13 Service Record(s) Reported,2015 Ford Taurus SEL,"$14,599*",117K miles,19 gal,"112.9""","41.9""","39""",Null,"4,035 lbs",Null,Front Wheel Drive,Automatic,254,4000,"202.9"" L "," 76.2"" W "," 60.7"" H",19 city,29 hwy,6-cyl, Gas, 3.5L,Silver,Black,635.0
7 year(s),No Accidents or Damage Reported,Null,,2016 Audi A3 Premium,"$18,998*",90K miles,13.2 gal,"103.8""","41.2""","39.6""",Null,"3,175 lbs",Null,Front Wheel Drive,Automatic,200,1600,"175"" L "," 70.7"" W "," 55.8"" H",23 city,33 hwy,4-cyl, Turbo Gas, 1.8L,White,Gray,1250.0
5 year(s),No Accidents or Damage Reported,Null,,2018 Toyota Camry LE,"$22,998*",60K miles,16 gal,"111.2""","42.1""","38.3""",Null,"3,296 lbs",Null,Front Wheel Drive,Automatic,184,5000,"192.1"" L "," 72.4"" W "," 56.9"" H",28 city,39 hwy,4-cyl, Gas, 2.5L,Black,Black,368.0
11 year(s),No Accidents or Damage Reported,Null,,2012 Kia Forte LX,"$12,998*",65K miles,13.7 gal,"104.3""","43.3""","40.0""",Null,"2,729 lbs",Null,Front Wheel Drive,Manual 6 Speed,144,4300,"178.3"" L "," 69.9"" W "," 57.5"" H",25 city,34 hwy,4-cyl, Gas, 2.0L,White,Gray,334.8837209302326
10 year(s),No Accidents or Damage Reported,Null,,2013 Hyundai Elantra Limited,"$14,998*",90K miles,12.800 gal,"106.300""","43.600""","40.000""",Null,"2,701 lbs",Null,Front Wheel Drive,Automatic,130,4700,"178.300"" L "," 69.900"" W "," 56.500"" H",28 city,38 hwy,4-cyl, Gas, 1.8L,Gray,Gray,276.59574468085106
6 year(s),,Null,,2017 Mercedes-Benz C300,"$24,998*",40K miles,17.4 gal,"111.8""","41.7""","37.1""",Null,"3,417 lbs",Null,Rear Wheel Drive,Automatic,273,1300,"184.5"" L "," 71.3"" W "," 56.8"" H",24 city,34 hwy,4-cyl, Turbo Gas, 2.0L,Black,Tan,2100.0
6 year(s),No Accidents or Damage Reported,Null,,2017 Dodge Charger Daytona,"$35,998*",22K miles,18.5 gal,"120.2""","41.8""","38.6""",Null,"4,264 lbs",Null,Rear Wheel Drive,Automatic,395,4200,"198.4"" L "," 75"" W "," 58.2"" H",16 city,25 hwy,8-cyl, Gas, 5.7L,Yellow,Black,940.4761904761905
6 year(s),,Null,,2017 Kia Optima Hybrid Premium,"$16,998*",90K miles,15.9 gal,"110.4""","45.5""","39.8""",Null,"3,486 lbs",Null,Front Wheel Drive,Automatic,271,1770,"191.1"" L "," 73.2"" W "," 57.5"" H",39 city,46 hwy,4-cyl, Hybrid, 2.0L,Silver,Black,1531.0734463276838
3 year(s),No Accidents or Damage Reported,Null,,2020 Toyota Corolla LE,"$24,998*",10K miles,13.2 gal,"106.3""","42""","38.3""",Null,"2,955 lbs",Null,Front Wheel Drive,Automatic,126,3900,"182.3"" L "," 70.1"" W "," 56.5"" H",30 city,38 hwy,4-cyl, Gas, 1.8L,White,Black,323.0769230769231
6 year(s),,Null,2 Service Record(s) Reported,2017 Audi A4 Premium,"$24,998*",32K miles,15.3 gal,"111""","41.3""","38.9""",Null,"3,483 lbs",Null,Front Wheel Drive,Automatic,273,1600,"186.1"" L "," 72.5"" W "," 56.2"" H",25 city,33 hwy,4-cyl, Turbo Gas, 2.0L,Gray,Black,1706.25
7 year(s),No Accidents or Damage Reported,Null,,2016 Audi A6 Premium Plus,"$23,998*",75K miles,19.8 gal,"114.6""","41.3""","37.2""",Null,"4,178 lbs",Null,All Wheel Drive,Automatic,325,2900,"194.2"" L "," 73.8"" W "," 57.8"" H",20 city,29 hwy,6-cyl, Supercharged Gas, 3.0L,Black,Black,1120.6896551724137
7 year(s),,Null,,2016 Kia Optima EX,"$14,599*",124K miles,18.5 gal,"110.4""","45.5""","39.8""",Null,"3,362 lbs",Null,Front Wheel Drive,Automatic,178,4000,"191.1"" L "," 73.2"" W "," 57.7"" H",24 city,35 hwy,4-cyl, Gas, 2.4L,Burgundy,Black,445.0
