Unnamed: 0,Name,Price,Mileage,ages,accident_damages,Insurance,service_repairs,fuel_capacity,wheelbase,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,drive_type_text,transmission_text,torque_num,torque_rpm,dimension_L,dimension_W,dimension_H,mile_per_gallon_city,mile_per_gallon_hwy,engine_cly,engine_fuel,engine_L,color_ext,color_int,torque
1,2015 Chevrolet Camaro LS,"$20,998*",55K miles,8 year(s),No Accidents or Damage Reported,Null,,19.0 gal,"112.30""","42.40""","37.40""",Null,"3,719 lbs",Null,Rear Wheel Drive,Automatic,278,4800,"190.6"" L "," 75.50"" W "," 54.20"" H",17 city,28 hwy,6-cyl, Gas, 3.6L,Black,Black,579.1666666666666
2,2020 BMW Z4 sDrive30i,"$45,998*",18K miles,3 year(s),No Accidents or Damage Reported,Null,,13.7 gal,"97.2""","42.2""","38.9""",Null,"3,287 lbs",Null,Rear Wheel Drive,Automatic,295,1550,"170.7"" L "," 73.4"" W "," 51.4"" H",24 city,32 hwy,4-cyl, Turbo Gas, 2.0L,White,Brown,1903.2258064516127
3,2013 Chevrolet Camaro SS,"$25,998*",68K miles,10 year(s),,Null,2 Service Record(s) Reported,19.0 gal,"112.30""","42.40""","37.40""",Null,"3,860 lbs",Null,Rear Wheel Drive,Automatic,420,4600,"190.40"" L "," 75.50"" W "," 54.20"" H",16 city,24 hwy,8-cyl, Gas, 6.2L,Red,Black,913.0434782608696
4,2014 Dodge Challenger SXT Plus,"$24,998*",24K miles,9 year(s),No Accidents or Damage Reported,Null,,19.5 gal,"116""","42""","39.3""",Null,"3,834 lbs",Null,Rear Wheel Drive,Automatic,268,4800,"197.7"" L "," 75.7"" W "," 57.1"" H",18 city,27 hwy,6-cyl, Gas, 3.6L,Black,Brown,558.3333333333334
5,2017 Chevrolet Corvette Stingray,"$45,998*",16K miles,6 year(s),No Accidents or Damage Reported,Null,6 Service Record(s) Reported,18.5 gal,"106.7""","43""","37.9""",Null,"3,298 lbs",Null,Rear Wheel Drive,Manual 7 Speed,460,4600,"176.9"" L "," 73.9"" W "," 48.8"" H",16 city,25 hwy,8-cyl, Gas, 6.2L,Black,Red,1000.0
6,2020 Ford Mustang Ecoboost Premium,"$24,998*",58K miles,3 year(s),No Accidents or Damage Reported,Null,,16 gal,"107.1""","44.5""","37.6""",Null,"3,642 lbs",Null,Null,Automatic,350,3000,"188.3"" L "," 75.4"" W "," 54.9"" H",20 city,28 hwy,4-cyl, Turbo Gas, 2.3L,Silver,Black,1166.6666666666667
7,2018 Dodge Challenger SXT Plus,"$27,998*",31K miles,5 year(s),No Accidents or Damage Reported,Null,,18.5 gal,"116.2""","42""","39.3""",Null,"3,894 lbs",Null,Rear Wheel Drive,Automatic,268,4800,"197.9"" L "," 75.7"" W "," 57.5"" H",19 city,30 hwy,6-cyl, Gas, 3.6L,White,Black,558.3333333333334
9,2021 Mazda MX-5 Miata RF Grand Touring,"$29,998*",6K miles,2 year(s),No Accidents or Damage Reported,Null,,11.9 gal,"90.9""","43.1""","36.8""",Null,"2,452 lbs",Null,Rear Wheel Drive,Manual 6 Speed,151,4000,"154.1"" L "," 68.3"" W "," 49"" H",26 city,34 hwy,4-cyl, Gas, 2.0L,Gray,Black,377.5
10,2020 Dodge Challenger R/T Scat Pack Widebody,"$52,998*",12K miles,3 year(s),,Null,,18.5 gal,"116.2""","42""","39.3""",Null,"4,308 lbs",Null,Null,Automatic,475,4100,"197.9"" L "," 79.2"" W "," 57.5"" H",14 city,23 hwy,8-cyl, Gas, 6.4L,Blue,Black,1158.5365853658536
11,2018 BMW M4,"$53,998*",21K miles,5 year(s),No Accidents or Damage Reported,Null,3 Service Record(s) Reported,15.9 gal,"110.7""","42.2""","39.8""",Null,"3,530 lbs",Null,Null,Automatic,406,1850,"184.5"" L "," 73.6"" W "," 54.4"" H",17 city,25 hwy,6-cyl, Turbo Gas, 3.0L,Silver,Black,2194.5945945945946
