ages,accident_damages,Insurance,service_repairs,Name,Price,Mileage,fuel_capacity,wheelbase,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,drive_type_text,transmission_text,torque_num,torque_rpm,dimension_L,dimension_W,dimension_H,mile_per_gallon_city,mile_per_gallon_hwy,engine_cly,engine_fuel,engine_L,color_ext,color_int,torque
9,No Accidents or Damage Reported,0,1,2014 GMC Terrain SLT,17998,81 ,18.0,112.5,41.2,39.8,0,3867,Null,Front Wheel Drive,Automatic,272,4800,185.3,72.8,66.3,17,24,6, Gas,3.6,Black,Brown,566.7
7,No Accidents or Damage Reported,0,9,2016 Jeep Grand Cherokee Laredo,19998,83 ,24.6,114.8,40.3,39.9,36.3 cu ft,4677,"3,500/3,500 lbs",Four Wheel Drive,Automatic,260,4000,189.8,76.5,69.3,18,25,6, Gas,3.6,Black,Black,650.0
3,No Accidents or Damage Reported,0,0,2020 Hyundai Palisade Limited,42998,30 ,18.8,114.2,44.1,39.3,18 cu ft,4387,"1,650/1,650 lbs",All Wheel Drive,Automatic,262,5200,196.1,77.8,68.9,19,24,6, Gas,3.8,White,Cream,503.8
11,No Accidents or Damage Reported,0,11,2012 Chevrolet Captiva Sport LT,12998,118 ,19.2,106.6,40.7,40.2,0,3831,"3,500/3,500 lbs",Front Wheel Drive,Automatic,222,5100,180.1,72.8,67.0,17,24,6, Gas,3.0,White,Black,435.3
9,No Accidents or Damage Reported,0,7,2014 Jeep Grand Cherokee Laredo,16998,124 ,24.6,114.8,40.3,39.9,36.3 cu ft,4677,"6,200/6,200 lbs",Four Wheel Drive,Automatic,260,4800,189.8,76.5,69.3,17,24,6, Gas,3.6,White,Black,541.7
5,No Accidents or Damage Reported,0,3,2018 Jeep Wrangler All-New Unlimited Sahara,32998,44 ,21.5,118.4,41.2,42.6,31.7 cu ft,4331,"3,500/3,500 lbs",Four Wheel Drive,Manual 6 Speed,260,4800,188.4,73.8,73.6,17,23,6, Gas,3.6,Silver,Black,541.7
6,No Accidents or Damage Reported,0,4,2017 GMC Terrain SLE,16998,101 ,18.8,112.5,41.2,39.8,0,3792,Null,Front Wheel Drive,Automatic,172,4900,185.5,72.8,66.3,21,31,4, Gas,2.4,Gray,Black,351.0
7,No Accidents or Damage Reported,0,9,2016 BMW X3 XDrive28i,22998,72 ,17.7,110.6,39.9,40.7,27.6 cu ft,4150,"3,500/3,500 lbs",All Wheel Drive,Automatic,260,1450,183.8,74.1,66.1,21,28,4, Turbo Gas,2.0,White,Tan,1793.1
5,No Accidents or Damage Reported,0,0,2018 Volkswagen Tiguan Limited,17998,69 ,16.9,102.5,40.1,39.1,23.8 cu ft,3646,"2,200/2,200 lbs",All Wheel Drive,Automatic,207,1700,174.5,71.2,67.1,19,25,4, Turbo Gas,2.0,Black,Black,1217.6
7,No Accidents or Damage Reported,0,6,2016 Jeep Compass Sport,15998,89 ,13.5,103.7,40.6,40.7,22.7 cu ft,3258,"1,000/1,000 lbs",Four Wheel Drive,Automatic,165,4400,175.1,71.4,65.0,22,27,4, Gas,2.4,Black,Black,375.0
6,No Accidents or Damage Reported,0,0,2017 GMC Terrain SLT,18998,94 ,18.8,112.5,41.2,39.8,0,4054,Null,All Wheel Drive,Automatic,172,4900,185.5,72.8,66.3,20,28,4, Gas,2.4,Gray,Black,351.0
10,No Accidents or Damage Reported,0,1,2013 Ford Edge SE,15998,80 ,18.3,111.2,40.7,40.0,0,4056,Null,Front Wheel Drive,Automatic,253,4000,184.2,76.0,67.0,19,27,6, Gas,3.5,Black,Black,632.5
10,No Accidents or Damage Reported,0,0,2013 Jeep Wrangler Sport,19998,82 ,18.6,95.4,41.0,41.3,0,3760,Null,Four Wheel Drive,Manual 6 Speed,260,4800,152.8,73.7,70.9,17,21,6, Gas,3.6,Black,Black,541.7
10,No Accidents or Damage Reported,0,1,2013 Hyundai Santa Fe Sport,14998,117 ,17.4,106.3,41.3,39.6,0,3459,Null,Front Wheel Drive,Automatic,181,4250,184.6,74.0,66.1,21,29,4, Gas,2.4,Orange,Gray,425.9
4,No Accidents or Damage Reported,0,1,2019 Kia Niro EX,24998,55 ,11.9,106.3,41.7,40.1,19.4 cu ft,3199,Null,Front Wheel Drive,Automatic,195,2400,171.5,71.1,60.4,51,46,4, Hybrid,1.6,Blue,Gray,812.5
4,No Accidents or Damage Reported,0,3,2019 Jeep Compass Altitude,24998,51 ,13.5,103.8,41.8,39.2,27.2 cu ft,3184,"1,000/1,000 lbs",Front Wheel Drive,Automatic,175,3900,173.0,73.8,64.8,22,31,4, Gas,2.4,Black,Black,448.7
6,No Accidents or Damage Reported,0,0,2017 Mitsubishi Outlander Sport ES,18998,23 ,16.6,105.1,41.6,39.4,21.7 cu ft,3032,Null,Front Wheel Drive,Manual 5 Speed,145,4200,171.5,71.3,64.8,23,29,4, Gas,2.0,Silver,Black,345.2
8,No Accidents or Damage Reported,0,0,2015 Subaru Forester 2.0XT Touring,17998,114 ,15.9,103.9,43.0,40.0,31.5 cu ft,3651,"1,500/1,500 lbs",All Wheel Drive,Automatic,258,2000,180.9,70.7,68.2,23,28,4, Turbo Gas,2.0,Gray,Black,1290.0
6,No Accidents or Damage Reported,0,10,2017 Kia Soul,15998,45 ,14.2,101.2,40.9,39.6,0,2942,Null,Front Wheel Drive,Automatic,118,4850,163.0,70.9,63.5,25,30,4, Gas,1.6,Green,Black,243.3
8,No Accidents or Damage Reported,0,0,2015 Nissan Juke SL,17998,55 ,13.2,99.6,42.1,38.6,10.5 cu ft,3007,Null,Front Wheel Drive,Automatic,177,2000,162.4,69.5,61.8,28,32,4, Turbo Gas,1.6,White,Black,885.0
5,No Accidents or Damage Reported,0,4,2018 BMW X3 XDrive30i,28998,56 ,17.2,112.8,40.3,41.1,28.7 cu ft,4156,Null,All Wheel Drive,Automatic,258,1450,185.9,74.4,66.0,22,29,4, Turbo Gas,2.0,White,Black,1779.3
