,Name,Price,Mileage,ages,accident_damages,Insurance,service_repairs,fuel_capacity,wheelbase,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,drive_type_text,transmission_text,torque_num,torque_rpm,dimension_L,dimension_W,dimension_H,mile_per_gallon_city,mile_per_gallon_hwy,engine_cly,engine_fuel,engine_L,color_ext,color_int,torque
0,2015 Chevrolet Camaro LS,20998,55 ,8,No Accidents or Damage Reported,0,0,19.0,112.3,42.4,37.4,0,3719,Null,Rear Wheel Drive,Automatic,278,4800,190.6,75.5,54.2,17,28,6, Gas,3.6,Black,Black,579.2
1,2020 BMW Z4 sDrive30i,45998,18 ,3,No Accidents or Damage Reported,0,0,13.7,97.2,42.2,38.9,0,3287,Null,Rear Wheel Drive,Automatic,295,1550,170.7,73.4,51.4,24,32,4, Turbo Gas,2.0,White,Brown,1903.2
2,2013 Chevrolet Camaro SS,25998,68 ,10,No Accidents or Damage Reported,0,2,19.0,112.3,42.4,37.4,0,3860,Null,Rear Wheel Drive,Automatic,420,4600,190.4,75.5,54.2,16,24,8, Gas,6.2,Red,Black,913.0
3,2014 Dodge Challenger SXT Plus,24998,24 ,9,No Accidents or Damage Reported,0,0,19.5,116.0,42.0,39.3,0,3834,Null,Rear Wheel Drive,Automatic,268,4800,197.7,75.7,57.1,18,27,6, Gas,3.6,Black,Brown,558.3
4,2017 Chevrolet Corvette Stingray,45998,16 ,6,No Accidents or Damage Reported,0,6,18.5,106.7,43.0,37.9,0,3298,Null,Rear Wheel Drive,Manual 7 Speed,460,4600,176.9,73.9,48.8,16,25,8, Gas,6.2,Black,Red,1000.0
5,2020 Ford Mustang Ecoboost Premium,24998,58 ,3,No Accidents or Damage Reported,0,0,16.0,107.1,44.5,37.6,0,3642,Null,Null,Automatic,350,3000,188.3,75.4,54.9,20,28,4, Turbo Gas,2.3,Silver,Black,1166.7
6,2018 Dodge Challenger SXT Plus,27998,31 ,5,No Accidents or Damage Reported,0,0,18.5,116.2,42.0,39.3,0,3894,Null,Rear Wheel Drive,Automatic,268,4800,197.9,75.7,57.5,19,30,6, Gas,3.6,White,Black,558.3
7,2021 Mazda MX-5 Miata RF Grand Touring,29998,6 ,2,No Accidents or Damage Reported,0,0,11.9,90.9,43.1,36.8,0,2452,Null,Rear Wheel Drive,Manual 6 Speed,151,4000,154.1,68.3,49.0,26,34,4, Gas,2.0,Gray,Black,377.5
8,2020 Dodge Challenger R/T Scat Pack Widebody,52998,12 ,3,No Accidents or Damage Reported,0,0,18.5,116.2,42.0,39.3,0,4308,Null,Null,Automatic,475,4100,197.9,79.2,57.5,14,23,8, Gas,6.4,Blue,Black,1158.5
9,2018 BMW M4,53998,21 ,5,No Accidents or Damage Reported,0,3,15.9,110.7,42.2,39.8,0,3530,Null,Null,Automatic,406,1850,184.5,73.6,54.4,17,25,6, Turbo Gas,3.0,Silver,Black,2194.6
