ages,accident_damages,Insurance,service_repairs,Name,Price,Mileage,fuel_capacity,wheelbase,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,drive_type_text,transmission_text,torque_num,torque_rpm,dimension_L,dimension_W,dimension_H,mile_per_gallon_city,mile_per_gallon_hwy,engine_cly,engine_fuel,engine_L,color_ext,color_int,torque
8 year(s),No Accidents or Damage Reported,Null,,2015 Nissan Frontier SV,"$21,998*",62K miles,21.1 gal,"125.9""","42.4""","39.7""",Null,"4,140 lbs","6,500/6,500 lbs",Rear Wheel Drive,Automatic,281,4000,"205.5"" L "," 72.8"" W "," 69.7"" H",16 city,22 hwy,6-cyl, Gas, 4.0L,Gray,Black,702.5000000000001
3 year(s),No Accidents or Damage Reported,Null,,2020 Chevrolet Silverado 1500 Custom,"$35,998*",16K miles,24 gal,"156.95""","44.53""","43.03""",Null,"4,674 lbs","9,600/9,600 lbs",Rear Wheel Drive,Automatic,305,3900,"241.21"" L "," 81.24"" W "," 75.35"" H",16 city,21 hwy,6-cyl, Gas, 4.3L,Black,Black,782.0512820512821
8 year(s),,Null,,2015 Ram 1500 Sport,"$26,998*",121K miles,26 gal,"140""","41""","41""",Null,"5,484 lbs","7,940/7,940 lbs",Four Wheel Drive,Automatic,410,3950,"229"" L "," 79.4"" W "," 78.1"" H",15 city,21 hwy,8-cyl, Gas, 5.7L,Gray,Black,1037.9746835443038
3 year(s),No Accidents or Damage Reported,Null,,2020 Chevrolet Silverado 1500 LT,"$36,998*",27K miles,24 gal,"156.95""","44.53""","43.03""",Null,"4,867 lbs","11,300/11,300 lbs",Four Wheel Drive,Automatic,348,1500,"241.21"" L "," 81.24"" W "," 75.4"" H",19 city,22 hwy,4-cyl, Turbo Gas, 2.7L,Black,Black,2320.0
3 year(s),No Accidents or Damage Reported,Null,,2020 Chevrolet Silverado 2500 Work Truck,"$47,998*",10K miles,36 gal,"158.94""","44.53""","43.03""",Null,"6,633 lbs","18,500/18,500 lbs",Four Wheel Drive,Automatic,464,4000,"249.95"" L "," 81.85"" W "," 79.82"" H",Null,Null,8-cyl, Gas, 6.6L,Silver,Black,1160.0
5 year(s),,Null,,2018 Toyota Tacoma SR5,"$31,998*",45K miles,21.1 gal,"140.6""","42.9""","39.7""",Null,"4,425 lbs","6,400/6,400 lbs",Four Wheel Drive,Automatic,265,4600,"225.5"" L "," 74.4"" W "," 70.6"" H",18 city,22 hwy,6-cyl, Gas, 3.5L,Black,Black,576.0869565217391
4 year(s),,Null,,2019 Ram 1500 Rebel,"$41,998*",42K miles,26 gal,"144.5""","40.9""","40.9""",Null,"5,372 lbs","7,160/7,160 lbs",Four Wheel Drive,Automatic,410,3950,"232.9"" L "," 82.1"" W "," 77.6"" H",15 city,21 hwy,8-cyl, Gas, 5.7L,Gray,Black,1037.9746835443038
4 year(s),,Null,,2019 Toyota Tacoma TRD Sport,"$33,998*",56K miles,21.1 gal,"127.4""","42.9""","39.7""",Null,"4,325 lbs","6,500/6,500 lbs",Four Wheel Drive,Automatic,265,4600,"212.3"" L "," 75.2"" W "," 70.6"" H",18 city,22 hwy,6-cyl, Gas, 3.5L,Gray,Gray,576.0869565217391
5 year(s),No Accidents or Damage Reported,Null,1 Service Record(s) Reported,2018 Ram 1500 Laramie,"$29,998*",110K miles,26 gal,"140""","41""","41""",Null,"5,338 lbs","4,200/4,200 lbs",Four Wheel Drive,Automatic,420,2000,"229"" L "," 79.4"" W "," 78.1"" H",19 city,27 hwy,6-cyl, Turbo Diesel, 3.0L,Black,Black,2100.0
4 year(s),No Accidents or Damage Reported,Null,,2019 Ram 1500 Laramie,"$39,998*",44K miles,26 gal,"153.5""","40.9""","40.9""",Null,"5,160 lbs","6,320/6,320 lbs",Four Wheel Drive,Automatic,410,3950,"241.8"" L "," 82.1"" W "," 77.5"" H",15 city,21 hwy,8-cyl, Gas, 5.7L,Black,Black,1037.9746835443038
6 year(s),No Accidents or Damage Reported,Null,,2017 Ram 1500 Tradesman,"$19,998*",119K miles,26 gal,"140""","41""","41""",Null,"4,877 lbs","4,650/4,650 lbs",Rear Wheel Drive,Automatic,269,4175,"229"" L "," 79.4"" W "," 77.2"" H",17 city,25 hwy,6-cyl, Gas, 3.6L,Silver,Black,644.311377245509
1 year(s),No Accidents or Damage Reported,Null,,2022 Ram 2500 Tradesman,"$45,998*",8K miles,31 gal,"149""","40.9""","40.9""",Null,"6,642 lbs","14,380/14,380 lbs",Four Wheel Drive,Automatic,429,4000,"238.8"" L "," 79.5"" W "," 80.2"" H",Null,Null,8-cyl, Gas, 6.4L,Black,Gray,1072.5
4 year(s),No Accidents or Damage Reported,Null,2 Service Record(s) Reported,2019 GMC Sierra 1500 SLT,"$43,998*",46K miles,24 gal,"156.98""","44.53""","43.03""",Null,"4,887 lbs","12,000/12,000 lbs",Four Wheel Drive,Automatic,383,4100,"241.25"" L "," 81.24"" W "," 75.4"" H",15 city,21 hwy,8-cyl, Gas, 5.3L,Gray,Black,934.1463414634146
3 year(s),No Accidents or Damage Reported,Null,,2020 GMC Sierra 1500 SLE,"$39,998*",31K miles,24 gal,"156.98""","44.53""","43.03""",Null,"4,887 lbs","11,000/11,000 lbs",Four Wheel Drive,Automatic,383,4100,"241.25"" L "," 81.24"" W "," 75.4"" H",16 city,,8-cyl, Gas, 5.3L,Gray,Gray,934.1463414634146
